"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"10-34","UAM0022","6인승","6","연신내","1","2","07:58:12","천호","2","2","09:11:23","08:05:32","08:06:32","08:21:32","08:23:32","09:11:23","09:13:23","09:18:23","09:24:23"
"10-35","UAM0267","6인승","6","연신내","1","3","08:00:01","잠실","2","3","08:37:20","07:59:01","08:00:01","08:23:32","08:25:32","08:37:20","08:39:20","08:44:20","08:50:20"
"10-36","UAM0038","6인승","6","연신내","1","2","08:02:53","수서","2","3","08:48:02","08:07:02","08:08:02","08:25:32","08:27:32","08:48:02","08:50:02","08:55:02","09:01:02"
"10-37","UAM0289","6인승","6","연신내","1","1","08:05:03","사당","2","2","08:42:33","08:06:32","08:07:32","08:27:32","08:29:32","08:42:33","08:44:33","08:49:33","08:55:33"
"10-38","UAM0059","6인승","6","연신내","1","4","08:05:38","봉천","2","3","08:41:17","08:09:32","08:10:32","08:29:32","08:31:32","08:41:17","08:43:17","08:48:17","08:54:17"
"10-39","UAM0291","6인승","6","연신내","1","2","08:06:12","성수","2","2","09:03:08","08:08:32","08:09:32","08:31:32","08:33:32","09:03:08","09:05:08","09:10:08","09:16:08"
"10-40","UAM0090","6인승","6","연신내","1","3","08:07:33","목동","2","3","09:46:55","08:07:32","08:08:32","08:33:32","08:35:32","09:46:55","09:48:55","09:53:55","09:59:55"
"10-41","UAM0354","6인승","6","연신내","1","4","08:09:11","강남","2","2","09:26:49","08:11:02","08:12:02","08:35:32","08:37:32","09:26:49","09:28:49","09:33:49","09:39:49"
"10-42","UAM0485","6인승","6","연신내","1","1","08:10:37","마곡","2","2","09:42:42","08:09:37","08:10:37","08:37:32","08:39:32","09:42:42","09:44:42","09:49:42","09:55:42"
"10-43","UAM0152","6인승","6","연신내","1","1","08:19:25","강남","2","1","09:40:49","08:18:25","08:19:25","08:39:32","08:41:32","09:40:49","09:42:49","09:47:49","09:53:49"
"10-44","UAM0519","6인승","6","연신내","1","3","08:20:51","목동","2","4","10:16:55","08:19:51","08:20:51","08:41:32","08:43:32","10:16:55","10:18:55","10:23:55","10:29:55"
"10-45","UAM0522","6인승","6","연신내","1","1","08:22:11","가산","2","3","09:08:35","08:21:11","08:22:11","08:43:32","08:45:32","09:08:35","09:10:35","09:15:35","09:21:35"
"10-46","UAM0533","6인승","6","연신내","1","3","08:24:21","잠실","2","4","08:59:54","08:23:21","08:24:21","08:45:32","08:47:32","08:59:54","09:01:54","09:06:54","09:12:54"
"10-47","UAM0340","6인승","6","연신내","1","2","08:25:52","마곡","2","4","10:12:42","08:32:52","08:33:52","08:47:32","08:49:32","10:12:42","10:14:42","10:19:42","10:25:42"
"10-48","UAM0543","6인승","6","연신내","1","4","08:27:31","천호","2","3","09:59:23","08:26:31","08:27:31","08:49:32","08:51:32","09:59:23","10:01:23","10:06:23","10:12:23"
"10-49","UAM0547","6인승","6","연신내","1","5","08:28:07","목동","2","4","10:36:55","08:27:07","08:28:07","08:51:32","08:53:32","10:36:55","10:38:55","10:43:55","10:49:55"
"10-50","UAM0313","6인승","6","연신내","1","1","08:28:49","망우","2","1","09:09:41","08:29:22","08:30:22","08:53:32","08:55:32","09:09:41","09:11:41","09:16:41","09:22:41"
"10-51","UAM0551","6인승","6","연신내","1","6","08:29:08","성수","2","3","09:23:38","08:28:08","08:29:08","08:55:32","08:57:32","09:23:38","09:25:38","09:30:38","09:36:38"
"10-52","UAM0347","6인승","6","연신내","1","3","08:31:06","수서","2","2","09:16:43","08:31:22","08:32:22","08:57:32","08:59:32","09:16:43","09:18:43","09:23:43","09:29:43"
"10-53","UAM0120","6인승","6","연신내","1","2","08:33:24","여의도","2","3","09:15:04","08:34:22","08:35:22","08:59:32","09:01:32","09:15:04","09:17:04","09:22:04","09:28:04"
"10-54","UAM0391","6인승","6","연신내","1","4","08:34:42","미아","2","2","09:21:28","08:34:52","08:35:52","09:01:32","09:03:32","09:21:28","09:23:28","09:28:28","09:34:28"
"10-55","UAM0255","6인승","6","연신내","1","5","08:38:36","성수","2","2","09:48:15","08:37:36","08:38:36","09:03:32","09:05:32","09:48:15","09:50:15","09:55:15","10:01:15"
"10-56","UAM0210","6인승","6","연신내","1","1","08:41:19","목동","2","3","11:06:55","08:40:19","08:41:19","09:05:32","09:07:32","11:06:55","11:08:55","11:13:55","11:19:55"
"10-57","UAM0133","6인승","6","연신내","1","2","08:47:45","가산","2","3","09:37:41","08:52:52","08:53:52","09:07:32","09:09:32","09:37:41","09:39:41","09:44:41","09:50:41"
"10-58","UAM0140","6인승","6","연신내","1","4","08:47:55","잠실","2","2","09:34:57","08:46:55","08:47:55","09:09:32","09:11:32","09:34:57","09:36:57","09:41:57","09:47:57"
"10-59","UAM0040","6인승","6","연신내","1","3","08:49:15","강남","2","3","10:30:49","08:48:15","08:49:15","09:11:32","09:13:32","10:30:49","10:32:49","10:37:49","10:43:49"
"10-60","UAM0181","6인승","6","연신내","1","1","08:52:35","용산","2","2","09:30:46","08:57:59","08:58:59","09:13:32","09:15:32","09:30:46","09:32:46","09:37:46","09:43:46"
"10-61","UAM0218","6인승","6","연신내","1","2","08:53:01","성수","2","4","10:03:08","08:54:22","08:55:22","09:15:32","09:17:32","10:03:08","10:05:08","10:10:08","10:16:08"
"10-62","UAM0636","6인승","6","연신내","1","5","08:54:29","수서","2","1","09:35:41","08:53:29","08:54:29","09:17:32","09:19:32","09:35:41","09:37:41","09:42:41","09:48:41"
"10-63","UAM0102","6인승","6","연신내","1","3","08:59:38","사당","2","3","09:43:39","08:58:38","08:59:38","09:19:32","09:21:32","09:43:39","09:45:39","09:50:39","09:56:39"
"10-64","UAM0069","6인승","6","연신내","1","1","09:00:18","여의도","2","2","09:38:47","09:06:09","09:07:09","09:21:32","09:23:32","09:38:47","09:40:47","09:45:47","09:51:47"
"10-65","UAM0516","6인승","6","연신내","1","4","09:05:41","망우","2","4","09:45:58","09:04:41","09:05:41","09:23:32","09:25:32","09:45:58","09:47:58","09:52:58","09:58:58"
"10-66","UAM0510","6인승","6","연신내","1","2","09:06:33","마곡","2","3","11:34:42","09:11:59","09:12:59","09:25:32","09:27:32","11:34:42","11:36:42","11:41:42","11:47:42"
"10-67","UAM0524","6인승","6","연신내","1","1","09:07:54","봉천","2","1","09:39:17","09:14:52","09:15:52","09:27:32","09:29:32","09:39:17","09:41:17","09:46:17","09:52:17"
"10-68","UAM0681","6인승","6","연신내","1","4","09:08:48","성수","2","3","10:18:15","09:07:48","09:08:48","09:29:32","09:31:32","10:18:15","10:20:15","10:25:15","10:31:15"
"10-69","UAM0094","6인승","6","연신내","1","3","09:09:45","목동","2","3","12:06:55","09:16:52","09:17:52","09:31:32","09:33:32","12:06:55","12:08:55","12:13:55","12:19:55"
"10-70","UAM0688","6인승","6","연신내","1","5","09:10:12","천호","2","1","11:12:27","09:09:12","09:10:12","09:33:32","09:35:32","11:12:27","11:14:27","11:19:27","11:25:27"
"10-71","UAM0695","6인승","6","연신내","1","4","09:11:12","수서","2","2","09:56:43","09:10:12","09:11:12","09:35:32","09:37:32","09:56:43","09:58:43","10:03:43","10:09:43"
"10-72","UAM0396","6인승","6","연신내","1","1","09:16:15","강남","2","2","11:00:49","09:16:22","09:17:22","09:37:32","09:39:32","11:00:49","11:02:49","11:07:49","11:13:49"
"10-73","UAM0578","6인승","6","연신내","1","3","09:17:39","가산","2","1","10:08:35","09:18:22","09:19:22","09:39:32","09:41:32","10:08:35","10:10:35","10:15:35","10:21:35"
"10-74","UAM0263","6인승","6","연신내","1","2","09:24:40","잠실","2","3","10:07:54","09:23:40","09:24:40","09:41:32","09:43:32","10:07:54","10:09:54","10:14:54","10:20:54"
"10-75","UAM0232","6인승","6","연신내","1","2","09:28:26","강남","2","2","11:28:49","09:32:52","09:33:52","09:43:32","09:45:32","11:28:49","11:30:49","11:35:49","11:41:49"
"10-76","UAM0393","6인승","6","연신내","1","3","09:33:39","망우","2","2","10:31:58","09:37:06","09:38:06","09:45:32","09:47:32","10:31:58","10:33:58","10:38:58","10:44:58"
"10-77","UAM0250","6인승","6","연신내","1","1","09:34:11","목동","2","2","12:56:55","09:39:06","09:40:06","09:47:32","09:49:32","12:56:55","12:58:55","13:03:55","13:09:55"
"10-78","UAM0617","6인승","6","연신내","1","4","09:38:42","성수","2","3","11:00:15","09:43:06","09:44:06","09:49:32","09:51:32","11:00:15","11:02:15","11:07:15","11:13:15"
"10-79","UAM0518","6인승","6","연신내","1","3","09:43:14","잠실","2","4","10:29:54","09:47:32","09:48:32","09:53:32","09:55:32","10:29:54","10:31:54","10:36:54","10:42:54"
"10-80","UAM0350","6인승","6","연신내","1","2","09:44:51","사당","2","5","10:41:39","10:06:52","10:07:52","10:12:52","10:14:52","10:41:39","10:43:39","10:48:39","10:54:39"
"10-81","UAM0414","6인승","6","연신내","1","1","09:46:23","여의도","2","3","10:28:47","09:50:52","09:51:52","10:14:52","10:16:52","10:28:47","10:30:47","10:35:47","10:41:47"
"10-82","UAM0489","6인승","6","연신내","1","2","09:46:36","수서","2","3","10:35:41","10:08:22","10:09:22","10:16:52","10:18:52","10:35:41","10:37:41","10:42:41","10:48:41"
"10-83","UAM0406","6인승","6","연신내","1","5","09:47:53","가산","2","2","10:50:35","09:46:53","09:47:53","10:18:52","10:20:52","10:50:35","10:52:35","10:57:35","11:03:35"
"10-84","UAM0023","6인승","6","연신내","1","4","09:48:36","미아","2","3","10:39:10","09:54:52","09:55:52","10:20:52","10:22:52","10:39:10","10:41:10","10:46:10","10:52:10"
"10-85","UAM0030","6인승","6","연신내","1","3","09:49:35","천호","2","2","12:11:23","09:49:02","09:50:02","10:22:52","10:24:52","12:11:23","12:13:23","12:18:23","12:24:23"
"10-86","UAM0812","6인승","6","연신내","1","5","09:50:13","목동","2","1","13:34:55","09:49:13","09:50:13","10:24:52","10:26:52","13:34:55","13:36:55","13:41:55","13:47:55"
"10-87","UAM0060","6인승","6","연신내","1","1","09:50:38","강남","2","2","12:02:49","09:52:22","09:53:22","10:26:52","10:28:52","12:02:49","12:04:49","12:09:49","12:15:49"
"10-88","UAM0816","6인승","6","연신내","1","5","09:51:43","봉천","2","2","10:50:40","09:50:43","09:51:43","10:28:52","10:30:52","10:50:40","10:52:40","10:57:40","11:03:40"
"10-89","UAM0658","6인승","6","연신내","1","4","09:57:38","마곡","2","3","13:08:42","09:56:38","09:57:38","10:30:52","10:32:52","13:08:42","13:10:42","13:15:42","13:21:42"
"10-90","UAM0583","6인승","6","연신내","1","3","10:07:14","천호","2","3","12:32:27","10:12:52","10:13:52","10:32:52","10:34:52","12:32:27","12:34:27","12:39:27","12:45:27"
"10-91","UAM0474","6인승","6","연신내","1","1","10:08:41","성수","2","1","11:34:15","10:10:52","10:11:52","10:34:52","10:36:52","11:34:15","11:36:15","11:41:15","11:47:15"
"10-92","UAM0675","6인승","6","연신내","1","2","10:12:19","강남","2","3","12:36:49","10:16:43","10:17:43","10:36:52","10:38:52","12:36:49","12:38:49","12:43:49","12:49:49"
"10-93","UAM0419","6인승","6","연신내","1","2","10:14:19","잠실","2","3","11:03:23","10:18:13","10:19:13","10:38:52","10:40:52","11:03:23","11:05:23","11:10:23","11:16:23"
"10-94","UAM0092","6인승","6","연신내","1","2","10:14:53","수서","2","2","10:58:43","10:19:43","10:20:43","10:40:52","10:42:52","10:58:43","11:00:43","11:05:43","11:11:43"
"10-95","UAM0700","6인승","6","연신내","1","1","10:16:46","목동","2","3","14:22:55","10:32:32","10:33:32","10:42:52","10:44:52","14:22:55","14:24:55","14:29:55","14:35:55"
"10-96","UAM0307","6인승","6","연신내","1","3","10:21:51","여의도","2","3","10:55:40","10:21:13","10:22:13","10:44:52","10:46:52","10:55:40","10:57:40","11:02:40","11:08:40"
"10-97","UAM0522","6인승","6","연신내","1","1","10:24:26","용산","2","3","10:59:35","10:40:52","10:41:52","10:46:52","10:48:52","10:59:35","11:01:35","11:06:35","11:12:35"
"10-98","UAM0407","6인승","6","연신내","1","3","10:35:50","망우","2","5","11:17:58","10:34:50","10:35:50","10:48:52","10:50:52","11:17:58","11:19:58","11:24:58","11:30:58"
"10-99","UAM0587","6인승","6","연신내","1","1","10:37:51","가산","2","3","11:45:30","10:42:22","10:43:22","10:50:52","10:52:52","11:45:30","11:47:30","11:52:30","11:58:30"
"10-100","UAM0050","6인승","6","연신내","1","4","10:39:18","마곡","2","2","14:14:42","10:38:18","10:39:18","10:52:52","10:54:52","14:14:42","14:16:42","14:21:42","14:27:42"
"10-101","UAM0200","6인승","6","연신내","1","1","10:39:26","잠실","2","3","11:11:23","10:50:43","10:51:43","10:56:43","10:58:43","11:11:23","11:13:23","11:18:23","11:24:23"
"10-102","UAM0125","6인승","6","연신내","1","2","10:41:29","봉천","2","1","11:11:33","10:40:29","10:41:29","10:58:43","11:00:43","11:11:33","11:13:33","11:18:33","11:24:33"
"10-103","UAM0171","6인승","6","연신내","1","2","10:41:42","사당","2","4","11:26:41","10:41:59","10:42:59","11:00:43","11:02:43","11:26:41","11:28:41","11:33:41","11:39:41"
"10-104","UAM0120","6인승","6","연신내","1","3","10:42:50","목동","2","4","15:02:55","10:47:40","10:48:40","11:02:43","11:04:43","15:02:55","15:04:55","15:09:55","15:15:55"
"10-105","UAM0312","6인승","6","연신내","1","3","10:49:18","강남","2","2","13:30:49","10:56:09","10:57:09","11:04:43","11:06:43","13:30:49","13:32:49","13:37:49","13:43:49"
"10-106","UAM0129","6인승","6","연신내","1","1","10:51:33","천호","2","3","13:31:23","11:06:02","11:07:02","11:12:02","11:14:02","13:31:23","13:33:23","13:38:23","13:44:23"
"10-107","UAM0815","6인승","6","연신내","1","2","10:55:24","마곡","2","4","14:50:42","10:54:24","10:55:24","11:14:02","11:16:02","14:50:42","14:52:42","14:57:42","15:03:42"
"10-108","UAM0167","6인승","6","연신내","1","4","10:59:15","성수","2","3","12:29:08","10:58:15","10:59:15","11:16:02","11:18:02","12:29:08","12:31:08","12:36:08","12:42:08"
"10-109","UAM0182","6인승","6","연신내","1","2","11:02:42","미아","2","5","11:39:56","11:07:49","11:08:49","11:18:02","11:20:02","11:39:56","11:41:56","11:46:56","11:52:56"
"10-110","UAM0436","6인승","6","연신내","1","1","11:06:25","망우","2","3","11:50:52","11:07:32","11:08:32","11:20:02","11:22:02","11:50:52","11:52:52","11:57:52","12:03:52"
"10-111","UAM0386","6인승","6","연신내","1","1","11:10:33","봉천","2","2","11:42:40","11:09:33","11:10:33","11:22:02","11:24:02","11:42:40","11:44:40","11:49:40","11:55:40"
"10-112","UAM0377","6인승","6","연신내","1","3","11:10:47","천호","2","2","14:03:23","11:09:49","11:10:49","11:24:02","11:26:02","14:03:23","14:05:23","14:10:23","14:16:23"
"10-113","UAM0381","6인승","6","연신내","1","1","11:11:18","목동","2","1","16:00:55","11:18:01","11:19:01","11:26:02","11:28:02","16:00:55","16:02:55","16:07:55","16:13:55"
"10-114","UAM0342","6인승","6","연신내","1","3","11:12:52","용산","2","1","11:45:35","11:11:52","11:12:52","11:28:02","11:30:02","11:45:35","11:47:35","11:52:35","11:58:35"
