"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"9-34","UAM0202","6인승","6","성수","1","3","07:39:24","미아","2","3","08:21:56","07:45:11","07:46:11","08:04:31","08:06:31","08:21:56","08:23:56","08:28:56","08:34:56"
"9-35","UAM0387","6인승","6","성수","1","4","07:39:37","사당","2","3","08:17:34","07:38:37","07:39:37","08:06:31","08:08:31","08:17:34","08:19:34","08:24:34","08:30:34"
"9-36","UAM0389","6인승","6","성수","1","5","07:40:02","용산","2","1","08:18:29","07:39:02","07:40:02","08:08:31","08:10:31","08:18:29","08:20:29","08:25:29","08:31:29"
"9-37","UAM0219","6인승","6","성수","1","1","07:46:23","목동","2","3","09:06:55","07:51:59","07:52:59","08:10:31","08:12:31","09:06:55","09:08:55","09:13:55","09:19:55"
"9-38","UAM0220","6인승","6","성수","1","2","07:52:38","마곡","2","4","09:12:42","07:53:59","07:54:59","08:12:31","08:14:31","09:12:42","09:14:42","09:19:42","09:25:42"
"9-39","UAM0248","6인승","6","성수","1","3","07:53:48","여의도","2","3","08:25:14","07:55:59","07:56:59","08:14:31","08:16:31","08:25:14","08:27:14","08:32:14","08:38:14"
"9-40","UAM0253","6인승","6","성수","1","4","07:56:01","목동","2","1","09:28:55","07:57:59","07:58:59","08:16:31","08:18:31","09:28:55","09:30:55","09:35:55","09:41:55"
"9-41","UAM0251","6인승","6","성수","1","1","07:56:30","봉천","2","3","08:28:44","08:00:29","08:01:29","08:18:31","08:20:31","08:28:44","08:30:44","08:35:44","08:41:44"
"9-42","UAM0257","6인승","6","성수","1","2","07:58:44","망우","2","3","08:42:52","08:11:45","08:12:45","08:20:31","08:22:31","08:42:52","08:44:52","08:49:52","08:55:52"
"9-43","UAM0040","6인승","6","성수","1","5","07:59:44","연신내","2","3","08:34:36","08:01:59","08:02:59","08:22:31","08:24:31","08:34:36","08:36:36","08:41:36","08:47:36"
"9-44","UAM0299","6인승","6","성수","1","1","08:01:51","사당","2","5","08:36:10","08:01:59","08:02:59","08:24:31","08:26:31","08:36:10","08:38:10","08:43:10","08:49:10"
"9-45","UAM0027","6인승","6","성수","1","3","08:04:10","상암","2","2","08:42:40","08:13:45","08:14:45","08:26:31","08:28:31","08:42:40","08:44:40","08:49:40","08:55:40"
"9-46","UAM0048","6인승","6","성수","1","4","08:05:39","미아","2","2","08:47:04","08:04:39","08:05:39","08:28:31","08:30:31","08:47:04","08:49:04","08:54:04","09:00:04"
"9-47","UAM0110","6인승","6","성수","1","5","08:07:23","가산","2","4","08:57:54","08:06:23","08:07:23","08:30:31","08:32:31","08:57:54","08:59:54","09:04:54","09:10:54"
"9-48","UAM0054","6인승","6","성수","1","2","08:08:46","수서","2","2","08:54:43","08:13:15","08:14:15","08:32:31","08:34:31","08:54:43","08:56:43","09:01:43","09:07:43"
