"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"8-34","UAM0281","6인승","6","사당","1","2","07:46:21","성수","2","4","08:24:00","07:58:44","07:59:44","08:04:44","08:06:44","08:24:00","08:26:00","08:31:00","08:37:00"
"8-35","UAM0405","6인승","6","사당","1","3","07:46:55","미아","2","3","08:31:33","07:45:55","07:46:55","08:06:44","08:08:44","08:31:33","08:33:33","08:38:33","08:44:33"
"8-36","UAM0046","6인승","6","사당","1","1","07:48:25","광화문","2","3","08:22:00","07:48:52","07:49:52","08:08:44","08:10:44","08:22:00","08:24:00","08:29:00","08:35:00"
"8-37","UAM0419","6인승","6","사당","1","3","07:48:57","수서","2","4","08:23:26","07:47:57","07:48:57","08:10:44","08:12:44","08:23:26","08:25:26","08:30:26","08:36:26"
"8-38","UAM0427","6인승","6","사당","1","4","07:49:56","천호","2","2","09:03:23","07:48:56","07:49:56","08:12:44","08:14:44","09:03:23","09:05:23","09:10:23","09:16:23"
"8-39","UAM0429","6인승","6","사당","1","5","07:50:24","목동","2","2","09:16:55","07:49:24","07:50:24","08:14:44","08:16:44","09:16:55","09:18:55","09:23:55","09:29:55"
"8-40","UAM0435","6인승","6","사당","1","3","07:50:55","가산","2","4","08:28:39","07:49:55","07:50:55","08:16:44","08:18:44","08:28:39","08:30:39","08:35:39","08:41:39"
"8-41","UAM0261","6인승","6","사당","1","2","07:51:54","마곡","2","2","09:08:42","08:07:09","08:08:09","08:18:44","08:20:44","09:08:42","09:10:42","09:15:42","09:21:42"
"8-42","UAM0050","6인승","6","사당","1","1","07:57:56","망우","2","2","08:40:52","07:57:14","07:58:14","08:20:44","08:22:44","08:40:52","08:42:52","08:47:52","08:53:52"
"8-43","UAM0304","6인승","6","사당","1","3","08:03:02","마곡","2","4","09:22:42","08:09:09","08:10:09","08:22:44","08:24:44","09:22:42","09:24:42","09:29:42","09:35:42"
"8-44","UAM0307","6인승","6","사당","1","4","08:04:32","잠실","2","1","08:47:23","08:03:32","08:04:32","08:24:44","08:26:44","08:47:23","08:49:23","08:54:23","09:00:23"
"8-45","UAM0076","6인승","6","사당","1","2","08:06:56","광화문","2","3","08:50:01","08:08:39","08:09:39","08:26:44","08:28:44","08:50:01","08:52:01","08:57:01","09:03:01"
"8-46","UAM0296","6인승","6","사당","1","1","08:09:13","목동","2","4","09:48:55","08:13:09","08:14:09","08:28:44","08:30:44","09:48:55","09:50:55","09:55:55","10:01:55"
"8-47","UAM0321","6인승","6","사당","1","3","08:09:55","성수","2","4","09:05:08","08:10:39","08:11:39","08:30:44","08:32:44","09:05:08","09:07:08","09:12:08","09:18:08"
"8-48","UAM0130","6인승","6","사당","1","2","08:13:32","수서","2","4","08:58:43","08:12:32","08:13:32","08:32:44","08:34:44","08:58:43","09:00:43","09:05:43","09:11:43"
"8-49","UAM0325","6인승","6","사당","1","1","08:14:50","상암","2","3","08:46:52","08:21:39","08:22:39","08:34:44","08:36:44","08:46:52","08:48:52","08:53:52","08:59:52"
"8-50","UAM0134","6인승","6","사당","1","4","08:17:44","천호","2","4","09:43:23","08:16:44","08:17:44","08:36:44","08:38:44","09:43:23","09:45:23","09:50:23","09:56:23"
"8-51","UAM0326","6인승","6","사당","1","1","08:22:24","가산","2","4","09:17:41","08:23:09","08:24:09","08:38:44","08:40:44","09:17:41","09:19:41","09:24:41","09:30:41"
