"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"7-33","UAM0255","6인승","6","봉천","1","1","07:48:44","연신내","2","5","08:23:22","07:54:07","07:55:07","08:00:07","08:02:07","08:23:22","08:25:22","08:30:22","08:36:22"
"7-34","UAM0418","6인승","6","봉천","1","2","07:48:56","천호","2","1","08:59:23","07:47:56","07:48:56","08:02:07","08:04:07","08:59:23","09:01:23","09:06:23","09:12:23"
"7-35","UAM0438","6인승","6","봉천","1","2","07:51:45","수서","2","3","08:29:41","07:50:45","07:51:45","08:04:07","08:06:07","08:29:41","08:31:41","08:36:41","08:42:41"
"7-36","UAM0010","6인승","6","봉천","1","1","07:55:07","강남","2","4","09:06:49","07:55:37","07:56:37","08:06:07","08:08:07","09:06:49","09:08:49","09:13:49","09:19:49"
"7-37","UAM0447","6인승","6","봉천","1","2","07:55:37","광화문","2","3","08:29:30","07:54:37","07:55:37","08:08:07","08:10:07","08:29:30","08:31:30","08:36:30","08:42:30"
"7-38","UAM0450","6인승","6","봉천","1","3","07:56:10","목동","2","3","09:30:55","07:55:10","07:56:10","08:10:07","08:12:07","09:30:55","09:32:55","09:37:55","09:43:55"
"7-39","UAM0451","6인승","6","봉천","1","4","07:56:18","성수","2","4","08:47:08","07:55:18","07:56:18","08:12:07","08:14:07","08:47:08","08:49:08","08:54:08","09:00:08"
"7-40","UAM0073","6인승","6","봉천","1","2","08:02:45","미아","2","3","08:39:33","08:09:26","08:10:26","08:15:26","08:17:26","08:39:33","08:41:33","08:46:33","08:52:33"
"7-41","UAM0465","6인승","6","봉천","1","3","08:03:26","잠실","2","4","08:33:54","08:02:26","08:03:26","08:17:26","08:19:26","08:33:54","08:35:54","08:40:54","08:46:54"
"7-42","UAM0466","6인승","6","봉천","1","4","08:04:10","강남","2","4","09:22:49","08:03:10","08:04:10","08:19:26","08:21:26","09:22:49","09:24:49","09:29:49","09:35:49"
"7-43","UAM0021","6인승","6","봉천","1","1","08:11:04","강남","2","4","09:30:49","08:13:26","08:14:26","08:21:26","08:23:26","09:30:49","09:32:49","09:37:49","09:43:49"
"7-44","UAM0064","6인승","6","봉천","1","2","08:12:12","성수","2","3","09:09:08","08:24:27","08:25:27","08:30:27","08:32:27","09:09:08","09:11:08","09:16:08","09:22:08"
"7-45","UAM0069","6인승","6","봉천","1","3","08:13:53","연신내","2","1","08:44:29","08:12:53","08:13:53","08:32:27","08:34:27","08:44:29","08:46:29","08:51:29","08:57:29"
"7-46","UAM0127","6인승","6","봉천","1","1","08:14:15","천호","2","4","09:35:23","08:21:44","08:22:44","08:34:27","08:36:27","09:35:23","09:37:23","09:42:23","09:48:23"
"7-47","UAM0114","6인승","6","봉천","1","4","08:19:04","광화문","2","4","09:00:14","08:18:04","08:19:04","08:36:27","08:38:27","09:00:14","09:02:14","09:07:14","09:13:14"
"7-48","UAM0223","6인승","6","봉천","1","2","08:21:00","망우","2","3","08:53:58","08:25:57","08:26:57","08:38:27","08:40:27","08:53:58","08:55:58","09:00:58","09:06:58"
"7-49","UAM0328","6인승","6","봉천","1","1","08:21:57","상암","2","2","08:51:48","08:23:14","08:24:14","08:40:27","08:42:27","08:51:48","08:53:48","08:58:48","09:04:48"
"7-50","UAM0528","6인승","6","봉천","1","4","08:23:18","잠실","2","2","08:57:54","08:22:18","08:23:18","08:42:27","08:44:27","08:57:54","08:59:54","09:04:54","09:10:54"
"7-51","UAM0338","6인승","6","봉천","1","2","08:25:09","목동","2","3","10:26:55","08:27:27","08:28:27","08:44:27","08:46:27","10:26:55","10:28:55","10:33:55","10:39:55"
"7-52","UAM0150","6인승","6","봉천","1","3","08:27:25","마곡","2","4","10:20:42","08:26:27","08:27:27","08:46:27","08:48:27","10:20:42","10:22:42","10:27:42","10:33:42"
"7-53","UAM0550","6인승","6","봉천","1","1","08:28:54","천호","2","4","10:01:23","08:27:54","08:28:54","08:48:27","08:50:27","10:01:23","10:03:23","10:08:23","10:14:23"
"7-54","UAM0028","6인승","6","봉천","1","3","08:35:20","성수","2","5","09:37:38","08:34:42","08:35:42","08:50:27","08:52:27","09:37:38","09:39:38","09:44:38","09:50:38"
"7-55","UAM0166","6인승","6","봉천","1","1","08:37:22","목동","2","4","11:00:55","08:37:14","08:38:14","08:52:27","08:54:27","11:00:55","11:02:55","11:07:55","11:13:55"
"7-56","UAM0585","6인승","6","봉천","1","4","08:38:41","광화문","2","3","09:22:14","08:37:41","08:38:41","08:54:27","08:56:27","09:22:14","09:24:14","09:29:14","09:35:14"
"7-57","UAM0394","6인승","6","봉천","1","2","08:38:46","잠실","2","1","09:25:54","08:39:14","08:40:14","08:56:27","08:58:27","09:25:54","09:27:54","09:32:54","09:38:54"
"7-58","UAM0589","6인승","6","봉천","1","1","08:39:47","강남","2","3","10:12:49","08:38:47","08:39:47","08:58:27","09:00:27","10:12:49","10:14:49","10:19:49","10:25:49"
"7-59","UAM0590","6인승","6","봉천","1","5","08:40:07","수서","2","4","09:20:43","08:39:07","08:40:07","09:00:27","09:02:27","09:20:43","09:22:43","09:27:43","09:33:43"
"7-60","UAM0593","6인승","6","봉천","1","1","08:41:29","망우","2","4","09:21:46","08:40:29","08:41:29","09:02:27","09:04:27","09:21:46","09:23:46","09:28:46","09:34:46"
"7-61","UAM0251","6인승","6","봉천","1","3","08:42:04","천호","2","3","10:28:27","08:42:44","08:43:44","09:04:27","09:06:27","10:28:27","10:30:27","10:35:27","10:41:27"
"7-62","UAM0622","6인승","6","봉천","1","2","08:50:21","목동","2","3","11:30:55","08:49:21","08:50:21","09:06:27","09:08:27","11:30:55","11:32:55","11:37:55","11:43:55"
"7-63","UAM0626","6인승","6","봉천","1","4","08:50:52","잠실","2","3","09:36:57","08:49:52","08:50:52","09:08:27","09:10:27","09:36:57","09:38:57","09:43:57","09:49:57"
"7-64","UAM0364","6인승","6","봉천","1","1","08:53:14","마곡","2","3","11:04:42","08:59:14","09:00:14","09:10:27","09:12:27","11:04:42","11:06:42","11:11:42","11:17:42"
"7-65","UAM0059","6인승","6","봉천","1","3","08:55:32","천호","2","4","10:42:27","08:54:47","08:55:47","09:12:27","09:14:27","10:42:27","10:44:27","10:49:27","10:55:27"
"7-66","UAM0643","6인승","6","봉천","1","5","08:55:42","미아","2","2","09:33:04","08:54:42","08:55:42","09:14:27","09:16:27","09:33:04","09:35:04","09:40:04","09:46:04"
"7-67","UAM0644","6인승","6","봉천","1","6","08:56:11","목동","2","3","11:38:55","08:55:11","08:56:11","09:16:27","09:18:27","11:38:55","11:40:55","11:45:55","11:51:55"
"7-68","UAM0015","6인승","6","봉천","1","2","08:57:40","강남","2","1","10:34:49","08:57:33","08:58:33","09:18:27","09:20:27","10:34:49","10:36:49","10:41:49","10:47:49"
"7-69","UAM0652","6인승","6","봉천","1","3","08:58:06","수서","2","4","09:44:12","08:57:06","08:58:06","09:20:27","09:22:27","09:44:12","09:46:12","09:51:12","09:57:12"
"7-70","UAM0025","6인승","6","봉천","1","1","09:00:18","성수","2","2","10:16:15","09:08:10","09:09:10","09:22:27","09:24:27","10:16:15","10:18:15","10:23:15","10:29:15"
"7-71","UAM0658","6인승","6","봉천","1","3","09:00:25","연신내","2","4","09:41:22","08:59:25","09:00:25","09:24:27","09:26:27","09:41:22","09:43:22","09:48:22","09:54:22"
"7-72","UAM0324","6인승","6","봉천","1","4","09:03:58","광화문","2","4","09:56:01","09:02:58","09:03:58","09:26:27","09:28:27","09:56:01","09:58:01","10:03:01","10:09:01"
"7-73","UAM0667","6인승","6","봉천","1","3","09:04:46","상암","2","4","09:46:14","09:03:46","09:04:46","09:28:27","09:30:27","09:46:14","09:48:14","09:53:14","09:59:14"
"7-74","UAM0204","6인승","6","봉천","1","2","09:05:19","마곡","2","4","11:26:42","09:05:58","09:06:58","09:30:27","09:32:27","11:26:42","11:28:42","11:33:42","11:39:42"
"7-75","UAM0480","6인승","6","봉천","1","1","09:07:53","수서","2","4","09:52:43","09:09:40","09:10:40","09:32:27","09:34:27","09:52:43","09:54:43","09:59:43","10:05:43"
"7-76","UAM0131","6인승","6","봉천","1","2","09:19:14","목동","2","3","12:24:55","09:18:14","09:19:14","09:34:27","09:36:27","12:24:55","12:26:55","12:31:55","12:37:55"
"7-77","UAM0388","6인승","6","봉천","1","3","09:21:36","광화문","2","3","10:14:54","09:21:14","09:22:14","09:36:27","09:38:27","10:14:54","10:16:54","10:21:54","10:27:54"
"7-78","UAM0055","6인승","6","봉천","1","1","09:22:15","천호","2","4","11:29:23","09:27:28","09:28:28","09:38:27","09:40:27","11:29:23","11:31:23","11:36:23","11:42:23"
"7-79","UAM0584","6인승","6","봉천","1","4","09:23:07","성수","2","3","10:36:15","09:23:14","09:24:14","09:40:27","09:42:27","10:36:15","10:38:15","10:43:15","10:49:15"
"7-80","UAM0737","6인승","6","봉천","1","3","09:24:32","강남","2","4","11:16:49","09:23:32","09:24:32","09:42:27","09:44:27","11:16:49","11:18:49","11:23:49","11:29:49"
"7-81","UAM0051","6인승","6","봉천","1","1","09:27:52","망우","2","4","10:25:58","09:36:07","09:37:07","09:44:27","09:46:27","10:25:58","10:27:58","10:32:58","10:38:58"
"7-82","UAM0745","6인승","6","봉천","1","4","09:28:18","잠실","2","1","10:11:54","09:27:18","09:28:18","09:46:27","09:48:27","10:11:54","10:13:54","10:18:54","10:24:54"
"7-83","UAM0471","6인승","6","봉천","1","2","09:31:32","미아","2","4","10:14:12","09:30:32","09:31:32","09:48:27","09:50:27","10:14:12","10:16:12","10:21:12","10:27:12"
"7-84","UAM0758","6인승","6","봉천","1","4","09:31:58","마곡","2","3","12:24:42","09:30:58","09:31:58","09:50:27","09:52:27","12:24:42","12:26:42","12:31:42","12:37:42"
"7-85","UAM0095","6인승","6","봉천","1","3","09:33:01","수서","2","3","10:20:43","09:40:07","09:41:07","09:52:27","09:54:27","10:20:43","10:22:43","10:27:43","10:33:43"
"7-86","UAM0766","6인승","6","봉천","1","4","09:34:03","강남","2","2","11:36:49","09:33:03","09:34:03","09:54:27","09:56:27","11:36:49","11:38:49","11:43:49","11:49:49"
"7-87","UAM0445","6인승","6","봉천","1","1","09:36:17","광화문","2","2","10:20:54","09:44:22","09:45:22","09:56:27","09:58:27","10:20:54","10:22:54","10:27:54","10:33:54"
"7-88","UAM0771","6인승","6","봉천","1","5","09:36:32","천호","2","5","11:47:23","09:35:32","09:36:32","09:58:27","10:00:27","11:47:23","11:49:23","11:54:23","12:00:23"
"7-89","UAM0772","6인승","6","봉천","1","6","09:36:34","목동","2","4","13:02:55","09:35:34","09:36:34","10:00:27","10:02:27","13:02:55","13:04:55","13:09:55","13:15:55"
"7-90","UAM0234","6인승","6","봉천","1","2","09:40:30","잠실","2","5","10:15:54","09:39:30","09:40:30","10:02:27","10:04:27","10:15:54","10:17:54","10:22:54","10:28:54"
"7-91","UAM0430","6인승","6","봉천","1","4","09:45:44","성수","2","5","11:04:15","09:44:44","09:45:44","10:04:27","10:06:27","11:04:15","11:06:15","11:11:15","11:17:15"
"7-92","UAM0442","6인승","6","봉천","1","1","09:48:35","수서","2","4","10:37:41","09:52:47","09:53:47","10:06:27","10:08:27","10:37:41","10:39:41","10:44:41","10:50:41"
"7-93","UAM0182","6인승","6","봉천","1","3","09:49:12","연신내","2","2","10:25:06","10:08:37","10:09:37","10:14:37","10:16:37","10:25:06","10:27:06","10:32:06","10:38:06"
"7-94","UAM0524","6인승","6","봉천","1","1","09:55:40","강남","2","2","12:18:49","09:54:40","09:55:40","10:16:37","10:18:37","12:18:49","12:20:49","12:25:49","12:31:49"
"7-95","UAM0532","6인승","6","봉천","1","3","10:01:24","상암","2","1","10:44:12","10:10:07","10:11:07","10:18:37","10:20:37","10:44:12","10:46:12","10:51:12","10:57:12"
"7-96","UAM0596","6인승","6","봉천","1","3","10:01:57","마곡","2","4","13:22:42","10:11:37","10:12:37","10:20:37","10:22:37","13:22:42","13:24:42","13:29:42","13:35:42"
"7-97","UAM0476","6인승","6","봉천","1","1","10:08:25","강남","2","3","12:28:49","10:07:25","10:08:25","10:22:37","10:24:37","12:28:49","12:30:49","12:35:49","12:41:49"
"7-98","UAM0027","6인승","6","봉천","1","5","10:09:37","목동","2","1","14:12:55","10:08:37","10:09:37","10:24:37","10:26:37","14:12:55","14:14:55","14:19:55","14:25:55"
"7-99","UAM0149","6인승","6","봉천","1","2","10:11:08","천호","2","3","12:44:27","10:10:08","10:11:08","10:26:37","10:28:37","12:44:27","12:46:27","12:51:27","12:57:27"
"7-100","UAM0086","6인승","6","봉천","1","2","10:12:56","미아","2","3","11:00:25","10:11:56","10:12:56","10:28:37","10:30:37","11:00:25","11:02:25","11:07:25","11:13:25"
"7-101","UAM0306","6인승","6","봉천","1","2","10:13:09","광화문","2","3","10:43:06","10:13:26","10:14:26","10:30:37","10:32:37","10:43:06","10:45:06","10:50:06","10:56:06"
"7-102","UAM0620","6인승","6","봉천","1","1","10:15:39","잠실","2","4","11:05:23","10:22:37","10:23:37","10:32:37","10:34:37","11:05:23","11:07:23","11:12:23","11:18:23"
"7-103","UAM0121","6인승","6","봉천","1","3","10:17:43","성수","2","3","11:38:15","10:16:43","10:17:43","10:34:37","10:36:37","11:38:15","11:40:15","11:45:15","11:51:15"
"7-104","UAM0576","6인승","6","봉천","1","2","10:30:25","마곡","2","3","14:00:42","10:36:43","10:37:43","10:42:43","10:44:43","14:00:42","14:02:42","14:07:42","14:13:42"
"7-105","UAM0750","6인승","6","봉천","1","4","10:33:05","잠실","2","2","11:09:23","10:34:07","10:35:07","10:44:43","10:46:43","11:09:23","11:11:23","11:16:23","11:22:23"
"7-106","UAM0674","6인승","6","봉천","1","3","10:34:24","수서","2","4","11:05:41","10:33:24","10:34:24","10:46:43","10:48:43","11:05:41","11:07:41","11:12:41","11:18:41"
"7-107","UAM0513","6인승","6","봉천","1","1","10:35:45","강남","2","3","13:04:49","10:39:14","10:40:14","10:48:43","10:50:43","13:04:49","13:06:49","13:11:49","13:17:49"
"7-108","UAM0142","6인승","6","봉천","1","1","10:37:30","연신내","2","3","11:12:29","10:54:07","10:55:07","11:00:07","11:02:07","11:12:29","11:14:29","11:19:29","11:25:29"
"7-109","UAM0322","6인승","6","봉천","1","2","10:38:29","망우","2","3","11:24:39","10:45:03","10:46:03","11:02:07","11:04:07","11:24:39","11:26:39","11:31:39","11:37:39"
