"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"1-34","UAM0393","6인승","6","여의도","1","2","07:43:21","망우","2","3","08:17:44","07:42:21","07:43:21","08:01:40","08:03:40","08:17:44","08:19:44","08:24:44","08:30:44"
"1-35","UAM0214","6인승","6","여의도","1","1","07:48:40","강남","2","2","08:46:49","07:49:40","07:50:40","08:03:40","08:05:40","08:46:49","08:48:49","08:53:49","08:59:49"
"1-36","UAM0423","6인승","6","여의도","1","4","07:49:13","천호","2","4","09:01:23","07:48:13","07:49:13","08:05:40","08:07:40","09:01:23","09:03:23","09:08:23","09:14:23"
"1-37","UAM0434","6인승","6","여의도","1","5","07:50:53","잠실","2","3","08:23:23","07:49:53","07:50:53","08:07:40","08:09:40","08:23:23","08:25:23","08:30:23","08:36:23"
"1-38","UAM0285","6인승","6","여의도","1","2","07:52:55","수서","2","4","08:31:41","07:52:12","07:53:12","08:09:40","08:11:40","08:31:41","08:33:41","08:38:41","08:44:41"
"1-39","UAM0287","6인승","6","여의도","1","3","07:53:51","강남","2","4","08:56:49","07:54:12","07:55:12","08:11:40","08:13:40","08:56:49","08:58:49","09:03:49","09:09:49"
"1-40","UAM0448","6인승","6","여의도","1","5","07:55:39","망우","2","4","08:35:46","07:54:39","07:55:39","08:13:40","08:15:40","08:35:46","08:37:46","08:42:46","08:48:46"
"1-41","UAM0288","6인승","6","여의도","1","4","07:55:42","미아","2","1","08:35:33","07:56:42","07:57:42","08:15:40","08:17:40","08:35:33","08:37:33","08:42:33","08:48:33"
"1-42","UAM0044","6인승","6","여의도","1","1","07:59:55","강남","2","2","09:10:49","07:58:55","07:59:55","08:17:40","08:19:40","09:10:49","09:12:49","09:17:49","09:23:49"
"1-43","UAM0107","6인승","6","여의도","1","2","08:00:12","성수","2","2","08:56:15","08:00:32","08:01:32","08:19:40","08:21:40","08:56:15","08:58:15","09:03:15","09:09:15"
