"LocalID","ID","Type","Pax","From","DepFATO_No","DepGate_No","STD","To","ArrFATO_No","ArrGate_No","STA","DepGateIn","DepGateOut","DepFATOIn","DepFATOOut","ArrFATOIn","ArrFATOOut","ArrGateIn","ArrGateOut"
"4-34","UAM0329","6인승","6","용산","1","1","09:07:08","망우","2","5","09:47:58","09:12:36","09:13:36","09:18:36","09:20:36","09:47:58","09:49:58","09:54:58","10:00:58"
"4-35","UAM0676","6인승","6","용산","1","2","09:07:10","가산","2","3","09:54:39","09:06:10","09:07:10","09:20:36","09:22:36","09:54:39","09:56:39","10:01:39","10:07:39"
"4-36","UAM0687","6인승","6","용산","1","3","09:10:06","미아","2","4","09:45:31","09:09:06","09:10:06","09:22:36","09:24:36","09:45:31","09:47:31","09:52:31","09:58:31"
"4-37","UAM0183","6인승","6","용산","1","1","09:12:58","상암","2","3","09:48:14","09:14:06","09:15:06","09:24:36","09:26:36","09:48:14","09:50:14","09:55:14","10:01:14"
"4-38","UAM0700","6인승","6","용산","1","3","09:13:10","연신내","2","1","09:57:22","09:12:10","09:13:10","09:26:36","09:28:36","09:57:22","09:59:22","10:04:22","10:10:22"
"4-39","UAM0117","6인승","6","용산","1","2","09:19:20","천호","2","2","11:25:23","09:18:20","09:19:20","09:28:36","09:30:36","11:25:23","11:27:23","11:32:23","11:38:23"
"4-40","UAM0725","6인승","6","용산","1","1","09:21:31","잠실","2","3","09:50:34","09:20:31","09:21:31","09:30:36","09:32:36","09:50:34","09:52:34","09:57:34","10:03:34"
"4-41","UAM0731","6인승","6","용산","1","2","09:22:32","마곡","2","2","12:10:42","09:21:32","09:22:32","09:32:36","09:34:36","12:10:42","12:12:42","12:17:42","12:23:42"
"4-42","UAM0732","6인승","6","용산","1","1","09:23:15","망우","2","3","10:21:58","09:22:15","09:23:15","09:34:36","09:36:36","10:21:58","10:23:58","10:28:58","10:34:58"
"4-43","UAM0742","6인승","6","용산","1","1","09:25:35","목동","2","1","12:44:55","09:24:35","09:25:35","09:36:36","09:38:36","12:44:55","12:46:55","12:51:55","12:57:55"
"4-44","UAM0743","6인승","6","용산","1","1","09:27:25","성수","2","1","10:50:15","09:26:25","09:27:25","09:38:36","09:40:36","10:50:15","10:52:15","10:57:15","11:03:15"
"4-45","UAM0473","6인승","6","용산","1","1","09:36:16","천호","2","4","11:45:23","09:42:16","09:43:16","09:48:16","09:50:16","11:45:23","11:47:23","11:52:23","11:58:23"
"4-46","UAM0500","6인승","6","용산","1","2","09:45:20","수서","2","2","10:33:41","09:44:20","09:45:20","09:50:20","09:52:20","10:33:41","10:35:41","10:40:41","10:46:41"
"4-47","UAM0339","6인승","6","용산","1","2","09:47:53","목동","2","2","13:28:55","09:46:53","09:47:53","09:52:53","09:54:53","13:28:55","13:30:55","13:35:55","13:41:55"
"4-48","UAM0435","6인승","6","용산","1","1","09:49:59","가산","2","3","10:52:35","09:53:32","09:54:32","09:59:32","10:01:32","10:52:35","10:54:35","10:59:35","11:05:35"
"4-49","UAM0185","6인승","6","용산","1","3","09:54:04","마곡","2","2","13:02:42","09:53:04","09:54:04","10:01:32","10:03:32","13:02:42","13:04:42","13:09:42","13:15:42"
"4-50","UAM0181","6인승","6","용산","1","2","09:56:01","잠실","2","4","10:39:23","09:56:36","09:57:36","10:03:32","10:05:32","10:39:23","10:41:23","10:46:23","10:52:23"
"4-51","UAM0331","6인승","6","용산","1","1","10:04:53","목동","2","2","14:08:55","10:14:16","10:15:16","10:20:16","10:22:16","14:08:55","14:10:55","14:15:55","14:21:55"
"4-52","UAM0241","6인승","6","용산","1","2","10:08:41","상암","2","4","10:46:12","10:16:16","10:17:16","10:22:16","10:24:16","10:46:12","10:48:12","10:53:12","10:59:12"
"4-53","UAM0045","6인승","6","용산","1","1","10:12:26","천호","2","4","12:46:27","10:15:46","10:16:46","10:24:16","10:26:16","12:46:27","12:48:27","12:53:27","12:59:27"
"4-54","UAM0642","6인승","6","용산","1","1","10:18:46","수서","2","4","10:54:02","10:17:46","10:18:46","10:26:16","10:28:16","10:54:02","10:56:02","11:01:02","11:07:02"
"4-55","UAM0496","6인승","6","용산","1","2","10:22:00","성수","2","2","11:48:15","10:21:00","10:22:00","10:28:16","10:30:16","11:48:15","11:50:15","11:55:15","12:01:15"
"4-56","UAM0188","6인승","6","용산","1","2","10:29:22","천호","2","5","12:57:23","10:35:05","10:36:05","10:41:05","10:43:05","12:57:23","12:59:23","13:04:23","13:10:23"
"4-57","UAM0269","6인승","6","용산","1","1","10:44:29","잠실","2","5","11:15:23","10:43:29","10:44:29","10:49:29","10:51:29","11:15:23","11:17:23","11:22:23","11:28:23"
"4-58","UAM0216","6인승","6","용산","1","2","10:48:42","가산","2","5","11:49:30","10:51:32","10:52:32","10:57:32","10:59:32","11:49:30","11:51:30","11:56:30","12:02:30"
"4-59","UAM0418","6인승","6","용산","1","2","10:52:01","망우","2","4","11:26:39","10:53:02","10:54:02","10:59:32","11:01:32","11:26:39","11:28:39","11:33:39","11:39:39"
