aircraft_type,flight_count,passenger_count,seat_supply,avg_load_factor,avg_gate_to_gate_sec
a2,797,1550,1594,0.9724,1713.8207721518986
a4,791,2911,3164,0.92,1738.3697834394873
a6,782,3881,4692,0.8272,1776.979152759948
a8,757,4430,6056,0.7315,1843.610093085104
