hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
9,09:00,강남,강남,113,80,33,0.708,14,1,1630.4678571428574,112.56727272727272,134.62111111111113
9,09:00,광화문,광화문,62,55,7,0.8871,11,0.935609090909091,1574.9681818181818,45.835,255.808
9,09:00,마곡,마곡,90,84,6,0.9333,20,0.835415,2054.741,587.11,74.9075
9,09:00,망우,망우,52,40,12,0.7692,10,0.8875,1476.2779999999998,40.3175,94.17
9,09:00,목동,목동,89,88,1,0.9888,21,0.9246047619047618,1671.9866666666671,181.42857142857142,219.34571428571425
9,09:00,미아,미아,55,45,10,0.8182,10,0.8166699999999999,1599.776,70,303.41499999999996
9,09:00,봉천,봉천,46,36,10,0.7826,7,1,1670.7000000000003,78.42999999999999,293.07666666666665
9,09:00,사당,사당,51,44,7,0.8627,10,0.93333,1443.469,55.18,11.2925
9,09:00,상암,상암,32,26,6,0.8125,7,0.7678571428571429,1615.3014285714287,32.45,203.36333333333332
9,09:00,성수,성수,50,49,1,0.98,12,0.8263916666666665,1507.7633333333333,23,213.51
9,09:00,수서,수서,71,62,9,0.8732,15,0.87778,1482.6786666666665,55.54,80.628
9,09:00,여의도,여의도,48,24,24,0.5,6,1,1651.8416666666665,27.814999999999998,172.57333333333335
9,09:00,연신내,연신내,52,33,19,0.6346,8,0.9114625,1675.8175,0,174.11399999999998
9,09:00,용산,용산,18,16,2,0.8889,7,1,1709.2457142857145,38,263.3333333333333
9,09:00,잠실,잠실,60,52,8,0.8667,13,0.9487153846153846,1637.0607692307692,40.416666666666664,132.23499999999999
9,09:00,천호,천호,97,92,5,0.9485,20,0.929165,2875.7545,1590.1,170.07000000000002
10,10:00,가산,가산,64,54,10,0.8438,11,0.8977272727272727,1485.189090909091,93.33333333333333,28.832000000000004
10,10:00,강남,강남,102,52,50,0.5098,10,1,1603.7459999999996,84.67,220.044
10,10:00,광화문,광화문,59,48,11,0.8136,9,0.9629666666666667,1488.2344444444443,36.95,138.64666666666665
10,10:00,마곡,마곡,93,88,5,0.9462,21,0.8908714285714286,2467.741428571429,913.2095238095241,94.535
10,10:00,망우,망우,48,43,5,0.8958,12,0.7951333333333334,1490.255,56.51857142857143,100.47
10,10:00,목동,목동,108,106,2,0.9815,22,0.9128772727272726,1776.147272727273,296.23809523809524,192.93499999999997
10,10:00,미아,미아,50,47,3,0.94,14,0.7857142857142856,1627.485,42.8,131.016
10,10:00,봉천,봉천,43,23,20,0.5349,6,0.9791666666666666,1537.2316666666666,0,178.96250000000003
10,10:00,사당,사당,61,44,17,0.7213,10,1,1477.671,37,180.83999999999997
10,10:00,상암,상암,30,27,3,0.9,7,0.9047571428571429,1511.2542857142857,0,137.91
10,10:00,성수,성수,58,58,0,1,11,0.7613636363636362,1653.8018181818181,47,79.28166666666668
10,10:00,수서,수서,61,51,10,0.8361,11,0.9431818181818182,1570.2309090909089,104.69200000000001,79.1557142857143
10,10:00,여의도,여의도,41,41,0,1,13,0.7820538461538462,1502.7607692307693,59.705,95.37
10,10:00,연신내,연신내,46,40,6,0.8696,11,0.8977272727272727,1505.2845454545457,66.8,17.1925
10,10:00,용산,용산,14,13,1,0.9286,4,0.5,1594.8525,3.95,61.595
10,10:00,잠실,잠실,73,61,12,0.8356,14,0.9642857142857143,1536.553571428571,85.82111111111111,75.785
10,10:00,천호,천호,94,78,16,0.8298,17,0.9387235294117646,2790.4564705882353,1497.5294117647059,133.2328571428571
11,11:00,가산,가산,60,59,1,0.9833,15,0.7833333333333334,1502.1893333333335,68.80125,74.13142857142857
11,11:00,강남,강남,94,84,10,0.8936,16,1,1496.2625000000003,86.34727272727274,82.69
11,11:00,광화문,광화문,55,54,1,0.9818,13,0.8717923076923076,1533.4930769230773,83.41285714285713,111.16857142857144
11,11:00,마곡,마곡,84,83,1,0.9881,21,0.7440428571428571,2562.768095238095,1121.5676190476192,73.26833333333333
11,11:00,망우,망우,44,44,0,1,16,0.7213499999999999,1617.0525000000005,143.69,104.48800000000001
11,11:00,목동,목동,95,72,23,0.7579,16,1,1768.2131250000002,237.41,144.2957142857143
11,11:00,미아,미아,49,43,6,0.8776,12,0.8819416666666667,1669.1499999999999,81.65599999999999,167.26166666666666
11,11:00,봉천,봉천,32,31,1,0.9688,8,0.7552000000000001,1536.9025000000001,0,118.272
11,11:00,사당,사당,48,37,11,0.7708,9,0.9027777777777778,1543.5644444444445,72.034,164.34
11,11:00,상암,상암,35,16,19,0.4571,3,1,1611.3100000000002,70,61.68
11,11:00,성수,성수,38,36,2,0.9474,9,0.7592666666666665,1548.3322222222223,102.37666666666667,88.96400000000001
11,11:00,수서,수서,68,51,17,0.75,9,0.9027777777777778,1457.4411111111112,49.29,152.66500000000002
11,11:00,여의도,여의도,56,46,10,0.8214,11,1,1527.3545454545456,94.5175,115.105
11,11:00,연신내,연신내,45,41,4,0.9111,12,0.8680583333333333,1624.9841666666664,108.58857142857143,75.105
11,11:00,용산,용산,17,4,13,0.2353,2,1,1465.45,0,66
11,11:00,잠실,잠실,69,34,35,0.4928,9,1,1580.4633333333334,95.615,159.04333333333332
11,11:00,천호,천호,100,98,2,0.98,23,0.8840565217391305,2572.9969565217384,1233.0869565217392,92.52375
12,12:00,가산,가산,74,42,32,0.5676,10,1,1640.5669999999998,68.2025,153.87199999999999
12,12:00,강남,강남,126,60,66,0.4762,13,1,1460.5838461538458,134.9933333333333,80.45599999999999
12,12:00,광화문,광화문,54,32,22,0.5926,6,1,1514.0249999999999,48.44,193.13666666666666
12,12:00,마곡,마곡,81,79,2,0.9753,19,0.8355263157894737,2542.1184210526317,1089.8673684210528,61.102
12,12:00,망우,망우,50,50,0,1,14,0.5922571428571429,1576.1178571428572,96.113,157.70000000000002
12,12:00,목동,목동,94,91,3,0.9681,19,0.9495631578947368,1550.5247368421055,119.565,111.52000000000001
12,12:00,미아,미아,52,47,5,0.9038,14,0.7916642857142858,1639.4921428571427,72.168,109.42125
12,12:00,봉천,봉천,28,28,0,1,11,0.5757636363636363,1527.3263636363636,88.75,110.95666666666666
12,12:00,사당,사당,47,44,3,0.9362,11,0.7840909090909091,1704.7081818181819,94.384,47.26666666666666
12,12:00,상암,상암,21,18,3,0.8571,6,0.6597166666666666,1538.5333333333335,49.54,104.17500000000001
12,12:00,성수,성수,47,47,0,1,14,0.7827357142857142,1522.0221428571424,81,100.0575
12,12:00,수서,수서,66,57,9,0.8636,14,0.9077357142857142,1580.7285714285713,85.65624999999999,122.235
12,12:00,여의도,여의도,39,31,8,0.7949,9,0.9722222222222222,1416.062222222222,25,55.120000000000005
