aircraft_type,flight_count,passenger_count,seat_supply,avg_load_factor,avg_gate_to_gate_sec
a2,768,1422,1536,0.9258,1709.8699868421031
a4,736,2267,2944,0.77,1795.8327983539093
a6,748,2843,4488,0.6335,1785.4223584905649
a8,753,3170,6024,0.5262,1772.7976747311827
