vertiport,vertiport_class,vertiport_lat_deg,vertiport_lon_deg,vertiport_angle_deg,category,label,semantic_id,s_id,node_id,node_type,marker_x_cm,marker_y_cm,marker_z_cm,airsim_x_m,airsim_y_m,airsim_editor_z_m,airsim_spawn_z_m,airsim_spawn_z_before_bias_m,airsim_spawn_z_bias_m,airsim_spawn_z_policy,yaw_deg,lla_lat_deg,lla_lon_deg,lla_height_m,terrain_h_m,deck_h_m,surface_h_m,route_ground_m,route_alt_m,resource_x_m,resource_y_m,resource_z_m,resource_lat_deg,resource_lon_deg,resource_pt_h_m,trace_status,source
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 1,G1,S16,16,gate,804223.020597,587367.197475,-29617.689307,8042.230206,5873.671975,-296.176893,294.423318,311.383383,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,353.000000,37.513543651002,127.068964870051,61.600667,33.579446,4.037171,37.616617,4.037171,14.037171,7999.322247,5819.836775,4.037171,37.514310830000,127.068884400000,33.579446,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 2,G2,S15,15,gate,804016.052252,585694.957680,-29615.907616,8040.160523,5856.949577,-296.159076,294.437325,311.397391,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,353.000000,37.513694337064,127.068941642889,61.600452,33.565438,4.037171,37.602609,4.037171,14.037171,7997.254292,5802.994638,4.037171,37.514462670000,127.068861300000,33.565438,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 3,G3,S14,14,gate,803809.083907,584022.717886,-29614.125926,8038.090839,5840.227179,-296.141259,294.451222,311.411288,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,353.000000,37.513845023118,127.068918415634,61.600280,33.551541,4.037171,37.588712,4.037171,14.037171,7995.195897,5786.230352,4.037171,37.514613810000,127.068838300000,33.551541,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 4,G4,S13,13,gate,803600.273114,582335.591684,-29612.328374,8036.002731,5823.355917,-296.123284,294.465257,311.425323,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,353.000000,37.513997050581,127.068894981513,61.600153,33.537506,4.037171,37.574677,4.037171,14.037171,7993.110407,5769.245403,4.037171,37.514766930000,127.068815000000,33.537506,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 5,G5,S04,4,gate,808262.198243,586867.275049,-29622.327036,8082.621982,5868.672750,-296.223270,294.351974,311.312040,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,173.000000,37.513588340627,127.069421792336,61.600668,33.650789,4.037171,37.687960,4.037171,14.037171,8041.418657,5815.103617,4.037171,37.514353120000,127.069360600000,33.650789,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 6,G6,S03,3,gate,808055.229898,585195.035254,-29620.545345,8080.552299,5851.950353,-296.205453,294.366336,311.326402,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,173.000000,37.513739026777,127.069398566079,61.600452,33.636428,4.037171,37.673598,4.037171,14.037171,8039.298465,5797.836042,4.037171,37.514508800000,127.069336900000,33.636428,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 7,G7,S02,2,gate,807848.261553,583522.795460,-29618.763654,8078.482616,5835.227955,-296.187637,294.380229,311.340295,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,173.000000,37.513889712920,127.069375339728,61.600281,33.622534,4.037171,37.659705,4.037171,14.037171,8037.240707,5781.076952,4.037171,37.514659890000,127.069313900000,33.622534,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,GATE,GATE 8,G8,S01,1,gate,807639.450760,581835.669258,-29616.966103,8076.394508,5818.356693,-296.169661,294.394640,311.354706,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,173.000000,37.514041740473,127.069351906521,61.600154,33.608123,4.037171,37.645294,4.037171,14.037171,8035.099185,5763.635654,4.037171,37.514817130000,127.069290000000,33.608123,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,FATO,FATO 1,F1,S26,26,pad,804577.998945,590235.312018,-29620.745144,8045.779989,5902.353120,-296.207451,294.399577,311.359643,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,83.000000,37.513285204265,127.069004707518,61.601142,33.603186,4.037171,37.640357,4.037171,14.037171,8002.811971,5848.258301,4.037171,37.514054600000,127.068923400000,33.603186,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
잠실,port,37.514368000000,127.069068000000,83.000000,FATO,FATO 2,F2,S25,25,pad,808617.176591,589735.389592,-29625.382873,8086.171766,5897.353896,-296.253829,294.330122,311.290188,-16.960066,settings_NED_down = cesium_origin_height_m - (resource_pt_h_m + resource_Z_m) - spawn_clearance_m + jamsil_empirical_bias_m,83.000000,37.513329893738,127.069461628251,61.601142,33.672641,4.037171,37.709812,4.037171,14.037171,8043.852635,5843.487332,4.037171,37.514097240000,127.069387600000,33.672641,NO_HIT_COMMANDLET_FALLBACK_H60,editor_preview_marker_xy + resources_vp_surface_height + jamsil_z_bias
