sim_time,gid,Lmax_1s,Lmax_w
6:34:20,6554,65.8,75.8
6:34:20,5055,62.5,72.5
6:34:20,5250,59.8,69.8
6:34:20,6440,65.9,75.9
6:34:20,6650,59.1,69.1
6:34:20,6245,59.5,69.5
6:34:20,4651,65.2,75.2
6:34:20,6649,65.3,75.3
6:34:20,3852,65.8,75.8
6:34:30,5651,60.3,70.3
6:34:30,4646,65.2,75.2
6:34:30,4352,59,69
6:34:30,5946,60.2,70.2
6:34:30,4252,59.4,69.4
6:34:30,6554,65.4,75.4
6:34:30,5054,61.3,71.3
6:34:30,5249,60.9,70.9
6:34:30,6440,61.7,71.7
6:34:30,6550,59.4,69.4
6:34:30,6345,59.5,69.5
6:34:30,4551,65.1,75.1
6:34:30,6650,65.2,75.2
6:34:30,3851,65.1,75.1
6:34:30,4543,66,76
6:34:40,5651,60.1,70.1
6:34:40,4647,65.2,75.2
6:34:40,4352,59,69
6:34:40,5847,60,70
6:34:40,6553,65.8,75.8
6:34:40,5054,60.9,70.9
6:34:40,5349,59.8,69.8
6:34:40,6540,59.9,69.9
6:34:40,6440,59.6,69.6
6:34:40,6550,61.6,71.6
6:34:40,6346,59.5,69.5
6:34:40,4551,64.8,74.8
6:34:40,6650,65.3,75.3
6:34:40,3851,65.3,75.3
6:34:40,4543,65.5,75.5
6:34:40,4447,66,76
6:34:50,5652,59.8,69.8
6:34:50,4547,65.1,75.1
6:34:50,4451,59.2,69.2
6:34:50,5747,59.6,69.6
6:34:50,4352,59,69
6:34:50,6453,66,76
6:34:50,5153,63.8,73.8
6:34:50,5349,59.7,69.7
6:34:50,6640,59.5,69.5
6:34:50,6540,59.7,69.7
6:34:50,6550,60.6,70.6
6:34:50,6346,59.1,69.1
6:34:50,4551,63.3,73.3
6:34:50,6650,65.2,75.2
6:34:50,3851,65.1,75.1
6:34:50,4543,65.1,75.1
6:34:50,4447,66,76
6:35:00,5652,60.4,70.4
6:35:00,4546,65.2,75.2
6:35:00,4450,59.6,69.6
6:35:00,5746,59.8,69.8
6:35:00,4451,59,69
6:35:00,6452,65.8,75.8
6:35:00,5153,65.1,75.1
6:35:00,5449,62,72
