time,tsec,edge_id,lane,density
06:34:00,23640,15,L-2000,0.0
06:34:00,23640,15,R-2000,0.0
06:34:00,23640,38,L-1000,0.0
06:34:00,23640,38,R-1000,0.0
06:34:00,23640,38,L-2000,5.0
06:34:00,23640,38,R-2000,5.0
06:34:10,23650,1,L-1000,0.0
06:34:10,23650,1,R-1000,0.0
06:34:10,23650,1,L-2000,3.3333333333333335
06:34:10,23650,1,R-2000,3.3333333333333335
06:34:10,23650,4,L-1000,0.0
06:34:10,23650,4,R-1000,0.0
06:34:10,23650,4,L-2000,3.3333333333333335
06:34:10,23650,4,R-2000,3.3333333333333335
06:34:10,23650,9,L-1000,10.0
06:34:10,23650,9,R-1000,10.0
06:34:10,23650,9,L-2000,0.0
06:34:10,23650,9,R-2000,0.0
06:34:10,23650,10,L-1000,3.3333333333333335
06:34:10,23650,10,R-1000,3.3333333333333335
06:34:10,23650,10,L-2000,0.0
06:34:10,23650,10,R-2000,0.0
06:34:10,23650,13,L-1000,10.0
06:34:10,23650,13,R-1000,10.0
06:34:10,23650,13,L-2000,0.0
06:34:10,23650,13,R-2000,0.0
06:34:10,23650,35,L-1000,0.0
06:34:10,23650,35,R-1000,0.0
06:34:10,23650,35,L-2000,3.3333333333333335
06:34:10,23650,35,R-2000,3.3333333333333335
06:34:20,23660,1,L-1000,0.0
06:34:20,23660,1,R-1000,0.0
06:34:20,23660,1,L-2000,2.7397260273972606
06:34:20,23660,1,R-2000,2.7397260273972606
06:34:20,23660,4,L-1000,0.0
06:34:20,23660,4,R-1000,0.0
06:34:20,23660,4,L-2000,2.7397260273972606
06:34:20,23660,4,R-2000,2.7397260273972606
06:34:20,23660,9,L-1000,10.0
06:34:20,23660,9,R-1000,10.0
06:34:20,23660,9,L-2000,0.0
06:34:20,23660,9,R-2000,0.0
06:34:20,23660,10,L-1000,2.7397260273972606
06:34:20,23660,10,R-1000,2.7397260273972606
06:34:20,23660,10,L-2000,0.0
06:34:20,23660,10,R-2000,0.0
06:34:20,23660,13,L-1000,8.219178082191782
06:34:20,23660,13,R-1000,8.219178082191782
06:34:20,23660,13,L-2000,2.7397260273972606
06:34:20,23660,13,R-2000,2.7397260273972606
06:34:20,23660,18,L-1000,2.7397260273972606
06:34:20,23660,18,R-1000,2.7397260273972606
06:34:20,23660,18,L-2000,0.0
06:34:20,23660,18,R-2000,0.0
06:34:20,23660,35,L-1000,0.0
06:34:20,23660,35,R-1000,0.0
06:34:20,23660,35,L-2000,2.7397260273972606
06:34:20,23660,35,R-2000,2.7397260273972606
06:34:30,23670,1,L-1000,0.0
06:34:30,23670,1,R-1000,0.0
06:34:30,23670,1,L-2000,2.777777777777778
06:34:30,23670,1,R-2000,2.777777777777778
06:34:30,23670,4,L-1000,0.0
06:34:30,23670,4,R-1000,0.0
06:34:30,23670,4,L-2000,2.777777777777778
06:34:30,23670,4,R-2000,2.777777777777778
06:34:30,23670,5,L-1000,2.777777777777778
06:34:30,23670,5,R-1000,2.777777777777778
06:34:30,23670,5,L-2000,0.0
06:34:30,23670,5,R-2000,0.0
06:34:30,23670,9,L-1000,10.0
06:34:30,23670,9,R-1000,10.0
06:34:30,23670,9,L-2000,0.0
06:34:30,23670,9,R-2000,0.0
06:34:30,23670,11,L-1000,2.777777777777778
06:34:30,23670,11,R-1000,2.777777777777778
06:34:30,23670,11,L-2000,0.0
06:34:30,23670,11,R-2000,0.0
06:34:30,23670,13,L-1000,8.333333333333334
06:34:30,23670,13,R-1000,8.333333333333334
06:34:30,23670,13,L-2000,2.777777777777778
06:34:30,23670,13,R-2000,2.777777777777778
06:34:30,23670,18,L-1000,2.777777777777778
06:34:30,23670,18,R-1000,2.777777777777778
06:34:30,23670,18,L-2000,0.0
06:34:30,23670,18,R-2000,0.0
06:34:30,23670,35,L-1000,0.0
06:34:30,23670,35,R-1000,0.0
06:34:30,23670,35,L-2000,2.777777777777778
06:34:30,23670,35,R-2000,2.777777777777778
06:34:40,23680,1,L-1000,0.0
06:34:40,23680,1,R-1000,0.0
06:34:40,23680,1,L-2000,3.3333333333333335
06:34:40,23680,1,R-2000,3.3333333333333335
06:34:40,23680,2,L-1000,0.0
06:34:40,23680,2,R-1000,0.0
06:34:40,23680,2,L-2000,3.3333333333333335
06:34:40,23680,2,R-2000,3.3333333333333335
06:34:40,23680,6,L-1000,3.3333333333333335
06:34:40,23680,6,R-1000,3.3333333333333335
06:34:40,23680,6,L-2000,0.0
06:34:40,23680,6,R-2000,0.0
06:34:40,23680,9,L-1000,10.0
06:34:40,23680,9,R-1000,10.0
06:34:40,23680,9,L-2000,0.0
06:34:40,23680,9,R-2000,0.0
06:34:40,23680,10,L-1000,3.3333333333333335
06:34:40,23680,10,R-1000,3.3333333333333335
06:34:40,23680,10,L-2000,0.0
06:34:40,23680,10,R-2000,0.0
06:34:40,23680,11,L-1000,3.3333333333333335
06:34:40,23680,11,R-1000,3.3333333333333335
06:34:40,23680,11,L-2000,0.0
06:34:40,23680,11,R-2000,0.0
06:34:40,23680,13,L-1000,10.0
06:34:40,23680,13,R-1000,10.0
06:34:40,23680,13,L-2000,3.3333333333333335
06:34:40,23680,13,R-2000,3.3333333333333335
06:34:40,23680,18,L-1000,3.3333333333333335
06:34:40,23680,18,R-1000,3.3333333333333335
06:34:40,23680,18,L-2000,0.0
