aircraft_type,flight_count,passenger_count,seat_supply,avg_load_factor,avg_gate_to_gate_sec
a2,763,1526,1526,1,1834.6422089947068
a4,741,2962,2964,0.9993,1900.9563165075
a6,735,4399,4410,0.9975,1914.4702743484204
a8,726,5753,5808,0.9905,1949.1289012517389
