hour,hour_label,vertiport_id,vertiport,requested,processed,unserved,processing_rate,flight_count,avg_load_factor,avg_gate_to_gate_sec,avg_departure_wait_sec,avg_arrival_wait_sec
13,13:00,여의도,여의도,123,42,81,0.3415,8,1,1617.24125,42.529999999999994,366
13,13:00,연신내,연신내,129,44,85,0.3411,10,1,1780.327,41.644,219.74200000000002
13,13:00,용산,용산,28,12,16,0.4286,2,1,5143.23,0,369
13,13:00,잠실,잠실,169,34,135,0.2012,8,1,1926.6425,59.595,304.2025
13,13:00,천호,천호,252,92,160,0.3651,19,1,2784.72947368421,1608.5589473684213,107.77333333333333
14,14:00,가산,가산,184,66,118,0.3587,14,1,1688.4371428571426,70.76666666666667,133.8125
14,14:00,강남,강남,299,72,227,0.2408,14,1,1565.4328571428573,94.62285714285713,290.8483333333333
14,14:00,광화문,광화문,138,28,110,0.2029,6,1,1648.9350000000002,14.94,321.3933333333334
14,14:00,마곡,마곡,205,110,95,0.5366,21,1,2921.794761904762,1566.904761904762,136.21
14,14:00,망우,망우,123,58,65,0.4715,12,1,1563.3616666666667,60.422000000000004,160.9775
14,14:00,목동,목동,263,90,173,0.3422,18,1,1828.38,259.614705882353,147.0142857142857
14,14:00,미아,미아,132,54,78,0.4091,10,1,1655.753,37,102.775
14,14:00,봉천,봉천,125,34,91,0.272,6,1,1715.9983333333332,16.669999999999998,222.73000000000002
14,14:00,사당,사당,121,34,87,0.281,7,1,1389.9785714285715,51.53,219.055
14,14:00,상암,상암,92,42,50,0.4565,7,1,1548.0571428571432,31,112.48
14,14:00,성수,성수,143,38,105,0.2657,9,1,1556.3422222222223,58,182.18
14,14:00,수서,수서,176,66,110,0.375,14,1,1510.167857142857,108.40500000000002,133.1925
14,14:00,여의도,여의도,127,48,79,0.378,11,1,1843.169090909091,63.63333333333333,192.22222222222223
14,14:00,연신내,연신내,143,34,109,0.2378,7,1,1612.1585714285713,35.995000000000005,228.2825
14,14:00,용산,용산,45,2,43,0.0444,1,1,1471.46,0,0
14,14:00,잠실,잠실,163,50,113,0.3067,9,1,1530.1833333333334,71.27999999999999,148.35333333333332
14,14:00,천호,천호,276,94,182,0.3406,20,1,2720.5650000000005,1598.39,117.27749999999997
15,15:00,가산,가산,185,50,135,0.2703,9,1,1740.2377777777774,57.839999999999996,187.248
15,15:00,강남,강남,305,84,221,0.2754,14,1,1505.936428571429,94.42857142857143,271.63800000000003
15,15:00,광화문,광화문,132,44,88,0.3333,10,1,1542.538,67.04666666666667,132.3357142857143
15,15:00,마곡,마곡,248,84,164,0.3387,18,1,2826.92,1361.6666666666667,100.07166666666667
15,15:00,망우,망우,135,58,77,0.4296,14,1,1389.552142857143,58.75,0
