sim_time,reg,phase,lat,lon,alt_m,x,y,z,lane
06:30:01.000,12-1,A,37.56858255517509,126.97282736379591,0.0,-482.09585366062527,213.0169620910161,0.0,-
06:30:02.000,12-1,A,37.568575665511474,126.97282009137322,0.0,-482.7375517347725,212.25000473781077,0.0,-
06:30:03.000,12-1,A,37.56856533101606,126.97280918273917,0.0,-483.7000988459934,211.0995687080028,0.0,-
06:30:04.000,12-1,A,37.568551551688834,126.97279463789377,0.0,-484.9834949942879,209.56565400159215,0.0,-
06:30:05.000,12-1,A,37.56853432752981,126.97277645683702,0.0,-486.587740179656,207.64826061857886,0.0,-
06:30:06.000,12-1,A,37.568513658538976,126.97275463956892,0.0,-488.5128344020978,205.3473885589629,0.0,-
06:30:07.000,12-1,A,37.568489544716336,126.97272918608947,0.0,-490.7587776616132,202.6630378227443,0.0,-
06:30:08.000,12-1,A,37.56846198606189,126.97270009639867,0.0,-493.32556995820215,199.595208409923,0.0,-
06:30:09.000,12-1,A,37.56843098257564,126.97266737049651,0.0,-496.2132112918648,196.14390032049909,0.0,-
06:30:10.000,12-1,A,37.56839653425758,126.972631008383,0.0,-499.42170166260104,192.30911355447248,0.0,-
06:30:10.032,12-1,A,37.5683954283839,126.97262984107189,0.0,-499.52470190385264,192.1860076958258,0.0,-
06:30:11.032,12-1,B,37.568388,126.972622,4.437807461364436,-500.21657597945244,191.3590800001512,4.437807461364436,-
06:30:11.064,12-1,C,37.568388,126.972622,4.613806461320256,-500.21657597945244,191.3590800001512,4.613806461320256,-
06:30:12.064,12-1,C,37.568388,126.972622,9.613806461320255,-500.21657597945244,191.3590800001512,9.613806461320255,-
06:30:12.093,12-1,C,37.568388,126.972622,9.758385961440045,-500.21657597945244,191.3590800001512,9.758385961440045,-
06:30:13.093,12-1,C,37.568388,126.972622,14.243885961428,-500.21657597945244,191.3590800001512,14.243885961428,-
06:30:13.125,12-1,C,37.568388,126.972622,14.387933961391326,-500.21657597945244,191.3590800001512,14.387933961391326,-
06:30:14.125,12-1,C,37.568388,126.972622,19.38943396137526,-500.21657597945244,191.3590800001512,19.38943396137526,-
06:30:14.157,12-1,C,37.568388,126.972622,19.549993961334316,-500.21657597945244,191.3590800001512,19.549993961334316,-
06:30:15.157,12-1,C,37.568388,126.972622,25.06749396131423,-500.21657597945244,191.3590800001512,25.06749396131423,-
06:30:15.189,12-1,C,37.568388,126.972622,25.244565961269014,-500.21657597945244,191.3590800001512,25.244565961269014,-
06:30:16.189,12-1,C,37.568388,126.972622,31.278065961244916,-500.21657597945244,191.3590800001512,31.278065961244916,-
06:30:16.218,12-1,C,37.568388,126.972622,31.45345796139031,-500.21657597945244,191.3590800001512,31.45345796139031,-
06:30:17.218,12-1,C,37.568388,126.972622,38.00145796137826,-500.21657597945244,191.3590800001512,38.00145796137826,-
06:30:17.250,12-1,C,37.568388,126.972622,38.211505961325024,-500.21657597945244,191.3590800001512,38.211505961325024,-
06:30:18.250,12-1,C,37.568388,126.972622,45.27550596130896,-500.21657597945244,191.3590800001512,45.27550596130896,-
06:30:18.282,12-1,C,37.568388,126.972622,45.50206596125144,-500.21657597945244,191.3590800001512,45.50206596125144,-
