시점수,유입계,유입비율,유출계,유출비율,34588,34886
Monday,4988,14.421186538683935,5040,14.447056125666457,,
Tuesday,5078,14.681392390424424,5135,14.71937166771771,,
Wednesday,5090,14.716086503989823,5144,14.745169982227827,,
Thursday,5115,14.78836590725107,5170,14.819698446368172,,
Friday,5239,15.146871747426854,5303,15.200940205239924,,
Saturday,4840,13.993292471377355,4881,13.99128590265436,,
Sunday,4238,12.252804440846536,4213,12.076477670125552,,
