Location,Ratio
영등포·여의도,0.047
잠실,0.055
상암·수색,0.026
용산,0.025
목동,0.074
미아,0.028
봉천,0.038
사당·이수,0.041
성수,0.05
연신내·불광,0.03
천호·길동,0.063
광화문,0.055
강남,0.098
가산·대림,0.046
마곡,0.048
망우,0.031
수서·문정,0.048
