상세 위치,Vertiport 명,Class,위도,경도,x (km),y (km),INR(km),OTR(KM),MTR(km),INR_Deg,OTR_Deg,LINK1,LINK2,LINK3,LINK4,Circle Turn,Unnamed: 17,Unnamed: 18,Unnamed: 19,inr,otr,mtr
잠실 스포츠 MICE,잠실,port,37.515249,127.073569,8.37874732,-5.7240744,1,0,2.7,45,180,대치교,건대입구,잠실대교 중간지점,-,Left,,,hub,1.4,2.7,3.7
김포공항,마곡,hub,37.563535, 126.791805,-15.56309356,-0.11733128,1.4,2.7,3.7,335,155,가양대교남단,서울식물원,정서진로,-,Left,,,,,,
인천공항,인천,port,37.482314,126.457488,-45.79941582,-9.3903986,1,0,2.7,45,180,운북동,,,,Left,,,,,,
