Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
잠실,port,83,TAXI 3,TAXI,801773.3004092230 ,580044.6328248030 ,403.7170770000 ,8017.7330040922 ,5800.4463282480 ,4.0371707700 ,83,37.514485460687900000 ,127.069092973776000000 ,33.599958505481400000 
잠실,port,83,TAXI 2,TAXI,801980.9526927100 ,581735.8248432080 ,403.7170770000 ,8019.8095269271 ,5817.3582484321 ,4.0371707700 ,83,37.514332993888300000 ,127.069116173530000000 ,33.614023732021400000 
잠실,port,83,TAXI 1,TAXI,802331.0475641320 ,584587.1186930820 ,403.7170770000 ,8023.3104756413 ,5845.8711869308 ,4.0371707700 ,83,37.514075939885400000 ,127.069155287334000000 ,33.637840689159900000 
상암·수색,port,38,GATE 8,GATE,-775579.6117263560 ,50014.2709679875 ,2072.3244530000 ,-7755.7961172636 ,500.1427096799 ,20.7232445300 ,128,37.562285187255600000 ,126.890701758331000000 ,31.970656859688400000 
상암·수색,port,38,GATE 7,GATE,-774194.8972792660 ,51096.1284508940 ,2072.3244530000 ,-7741.9489727927 ,510.9612845089 ,20.7232445300 ,128,37.562187779533000000 ,126.890858503118000000 ,31.958547459915200000 
상암·수색,port,38,GATE 6,GATE,-772864.3451862860 ,52135.6696421943 ,2072.3244530000 ,-7728.6434518629 ,521.3566964219 ,20.7232445300 ,128,37.562094181664600000 ,126.891009116533000000 ,31.946957320906200000 
상암·수색,port,38,GATE 5,GATE,-771493.4229952700 ,53206.7513803738 ,2072.3244530000 ,-7714.9342299527 ,532.0675138037 ,20.7232445300 ,128,37.561997743756100000 ,126.891164299296000000 ,31.935062280856000000 
상암·수색,port,38,GATE 4,GATE,-778151.9975399150 ,53379.9950266736 ,2072.3244630000 ,-7781.5199753992 ,533.7999502667 ,20.7232446300 ,-52,37.561981584098300000 ,126.890410829053000000 ,31.981535308994300000 
상암·수색,port,38,GATE 3,GATE,-776803.5139172360 ,54433.5458923071 ,2072.3244630000 ,-7768.0351391724 ,544.3354589231 ,20.7232446300 ,-52,37.561886725405600000 ,126.890563472392000000 ,31.969743637368000000 
상암·수색,port,38,GATE 2,GATE,-775472.5493296850 ,55473.4093952192 ,2072.3244630000 ,-7754.7254932969 ,554.7340939522 ,20.7232446300 ,-52,37.561793098888400000 ,126.890714132262000000 ,31.958150179125300000 
상암·수색,port,38,GATE 1,GATE,-774135.4039237660 ,56518.1018890275 ,2072.3244630000 ,-7741.3540392377 ,565.1810188903 ,20.7232446300 ,-52,37.561699037386400000 ,126.890865491397000000 ,31.946547921746900000 
상암·수색,port,38,FATO 2,FATO,-769314.2830698600 ,55041.6749113043 ,2072.3244530000 ,-7693.1428306986 ,550.4167491130 ,20.7232445300 ,38,37.561832516968100000 ,126.891410974330000000 ,31.915971894748500000 
상암·수색,port,38,FATO 1,FATO,-771878.9377812380 ,58281.0464503457 ,2072.3244630000 ,-7718.7893778124 ,582.8104645035 ,20.7232446300 ,38,37.561540305818600000 ,126.891120912842000000 ,31.927071191370400000 
상암·수색,port,38,TAXI 5,TAXI,-776917.0026488540 ,51726.0533369382 ,2072.3244530000 ,-7769.1700264885 ,517.2605333694 ,20.7232445300 ,38,37.562130774646300000 ,126.890550501240000000 ,31.976359926164100000 
상암·수색,port,38,TAXI 4,TAXI,-775545.8126299490 ,52797.3442350983 ,2072.3244530000 ,-7755.4581262995 ,527.9734423510 ,20.7232445300 ,38,37.562034318509400000 ,126.890705714985000000 ,31.964368716813600000 
상암·수색,port,38,TAXI 3,TAXI,-774204.6784321410 ,53845.1531121383 ,2072.3244530000 ,-7742.0467843214 ,538.4515311214 ,20.7232445300 ,38,37.561939976431000000 ,126.890857526134000000 ,31.952686271630200000 
상암·수색,port,38,TAXI 2,TAXI,-772861.9927498550 ,54894.1741188583 ,2072.3244530000 ,-7728.6199274986 ,548.9417411886 ,20.7232445300 ,38,37.561845525018000000 ,126.891009512522000000 ,31.941035803407400000 
상암·수색,port,38,TAXI 1,TAXI,-770598.2690758130 ,56662.7888776181 ,2072.3244530000 ,-7705.9826907581 ,566.6278887762 ,20.7232445300 ,38,37.561686282609100000 ,126.891265755679000000 ,31.921496560797000000 
용산,port,76,GATE 8,GATE,-173832.5488935000 ,421059.2973524750 ,1431.5747270000 ,-1738.3254889350 ,4210.5929735248 ,14.3157472700 ,166,37.528861900270200000 ,126.958777525866000000 ,27.848712505772700000 
용산,port,76,GATE 7,GATE,-173407.4369925370 ,422764.3280222750 ,1431.5747270000 ,-1734.0743699254 ,4227.6432802228 ,14.3157472700 ,166,37.528708211569900000 ,126.958825550908000000 ,27.855951623991100000 
용산,port,76,GATE 6,GATE,-172998.9530985330 ,424402.6673243990 ,1431.5747270000 ,-1729.9895309853 ,4244.0266732440 ,14.3157472700 ,166,37.528560534299500000 ,126.958871697293000000 ,27.862953349947900000 
용산,port,76,GATE 5,GATE,-172578.0754327760 ,426090.7152307530 ,1431.5747270000 ,-1725.7807543278 ,4260.9071523075 ,14.3157472700 ,166,37.528408376353000000 ,126.958919243610000000 ,27.870214427821300000 
용산,port,76,GATE 4,GATE,-177931.7632165200 ,422127.8052593090 ,1431.5747370000 ,-1779.3176321652 ,4221.2780525931 ,14.3157473700 ,-14,37.528765514117600000 ,126.958313830685000000 ,27.843035438098000000 
용산,port,76,GATE 3,GATE,-177517.7743010530 ,423788.2240874910 ,1431.5747370000 ,-1775.1777430105 ,4237.8822408749 ,14.3157473700 ,-14,37.528615846837800000 ,126.958360600029000000 ,27.850085937418000000 
용산,port,76,GATE 2,GATE,-177109.1637917330 ,425427.0713316470 ,1431.5747370000 ,-1771.0916379173 ,4254.2707133165 ,14.3157473700 ,-14,37.528468123961700000 ,126.958406761577000000 ,27.857090014033000000 
용산,port,76,GATE 1,GATE,-176698.6557547330 ,427073.5291643140 ,1431.5747370000 ,-1766.9865575473 ,4270.7352916431 ,14.3157473700 ,-14,37.528319715058700000 ,126.958453137310000000 ,27.864171807654200000 
용산,port,76,FATO 2,FATO,-171990.5814661010 ,428878.2672065920 ,1431.5747270000 ,-1719.9058146610 ,4288.7826720659 ,14.3157472700 ,76,37.528157109070000000 ,126.958985597144000000 ,27.882051393389700000 
용산,port,76,FATO 1,FATO,-176005.9132188100 ,429851.9677109760 ,1431.5747370000 ,-1760.0591321881 ,4298.5196771098 ,14.3157473700 ,76,37.528069271294200000 ,126.958531397098000000 ,27.876225226558700000 
용산,port,76,TAXI 5,TAXI,-175940.3057809100 ,421584.8201986100 ,1431.5747270000 ,-1759.4030578091 ,4215.8482019861 ,14.3157472700 ,76,37.528814493497300000 ,126.958539101161000000 ,27.845671132206900000 
