Vertiport,Class,Angle_deg,Label,Category,X_cm,Y_cm,Z_cm,X_m,Y_m,Z_m,Yaw_deg,pt_lat_deg,pt_lon_deg,pt_h_m
상암,port,38,TAXI 4,TAXI,-775545.8126,52797.34424,2072.324453,-7755.458126,527.9734424,20.72324453,38,37.56203432,126.8907057,31.96436872
상암,port,38,TAXI 3,TAXI,-774204.6784,53845.15311,2072.324453,-7742.046784,538.4515311,20.72324453,38,37.56193998,126.8908575,31.95268627
상암,port,38,TAXI 2,TAXI,-772861.9927,54894.17412,2072.324453,-7728.619927,548.9417412,20.72324453,38,37.56184553,126.8910095,31.9410358
상암,port,38,TAXI 1,TAXI,-770598.2691,56662.78888,2072.324453,-7705.982691,566.6278888,20.72324453,38,37.56168628,126.8912658,31.92149656
용산,port,76,GATE 8,GATE,-173832.5489,421059.2974,1431.574727,-1738.325489,4210.592974,14.31574727,166,37.5288619,126.9587775,27.84871251
용산,port,76,GATE 7,GATE,-173407.437,422764.328,1431.574727,-1734.07437,4227.64328,14.31574727,166,37.52870821,126.9588256,27.85595162
용산,port,76,GATE 6,GATE,-172998.9531,424402.6673,1431.574727,-1729.989531,4244.026673,14.31574727,166,37.52856053,126.9588717,27.86295335
용산,port,76,GATE 5,GATE,-172578.0754,426090.7152,1431.574727,-1725.780754,4260.907152,14.31574727,166,37.52840838,126.9589192,27.87021443
용산,port,76,GATE 4,GATE,-177931.7632,422127.8053,1431.574737,-1779.317632,4221.278053,14.31574737,-14,37.52876551,126.9583138,27.84303544
용산,port,76,GATE 3,GATE,-177517.7743,423788.2241,1431.574737,-1775.177743,4237.882241,14.31574737,-14,37.52861585,126.9583606,27.85008594
용산,port,76,GATE 2,GATE,-177109.1638,425427.0713,1431.574737,-1771.091638,4254.270713,14.31574737,-14,37.52846812,126.9584068,27.85709001
용산,port,76,GATE 1,GATE,-176698.6558,427073.5292,1431.574737,-1766.986558,4270.735292,14.31574737,-14,37.52831972,126.9584531,27.86417181
용산,port,76,FATO 2,FATO,-171990.5815,428878.2672,1431.574727,-1719.905815,4288.782672,14.31574727,76,37.52815711,126.9589856,27.88205139
용산,port,76,FATO 1,FATO,-176005.9132,429851.9677,1431.574737,-1760.059132,4298.519677,14.31574737,76,37.52806927,126.9585314,27.87622523
용산,port,76,TAXI 5,TAXI,-175940.3058,421584.8202,1431.574727,-1759.403058,4215.848202,14.31574727,76,37.52881449,126.9585391,27.84567113
용산,port,76,TAXI 4,TAXI,-175519.3458,423273.1978,1431.574727,-1755.193458,4232.731978,14.31574727,76,37.52866231,126.9585867,27.85283941
용산,port,76,TAXI 3,TAXI,-175107.6132,424924.5671,1431.574727,-1751.076132,4249.245671,14.31574727,76,37.52851345,126.9586332,27.85989665
용산,port,76,TAXI 2,TAXI,-174695.4043,426577.8468,1431.574727,-1746.954043,4265.778468,14.31574727,76,37.52836443,126.9586797,27.86700769
용산,port,76,TAXI 1,TAXI,-174000.4337,429365.2217,1431.574727,-1740.004337,4293.652217,14.31574727,76,37.52811318,126.9587582,27.87910009
목동,port,10,GATE 8,GATE,-898928.7457,446428.5579,1053.490982,-8989.287457,4464.285579,10.53490982,100,37.52653114,126.8767612,28.58433743
목동,port,10,GATE 7,GATE,-897198.2141,446733.6973,1053.490982,-8971.982141,4467.336973,10.53490982,100,37.5265038,126.876957,28.57005291
목동,port,10,GATE 6,GATE,-895535.3713,447026.9013,1053.490982,-8955.353713,4470.269013,10.53490982,100,37.52647753,126.8771451,28.55637266
목동,port,10,GATE 5,GATE,-893822.0764,447329.0013,1053.490982,-8938.220764,4473.290013,10.53490982,100,37.52645046,126.8773389,28.54232401
목동,port,10,GATE 4,GATE,-899619.9158,450607.9778,1053.490992,-8996.199158,4506.079778,10.53490992,-80,37.52615433,126.8766833,28.60759881
목동,port,10,GATE 3,GATE,-897934.6633,450905.1333,1053.490992,-8979.346633,4509.051333,10.53490992,-80,37.5261277,126.876874,28.5936887
목동,port,10,GATE 2,GATE,-896271.3049,451198.4282,1053.490992,-8962.713049,4511.984282,10.53490992,-80,37.52610142,126.8770621,28.58000424
목동,port,10,GATE 1,GATE,-894600.2222,451493.0852,1053.490992,-8946.002222,4514.930852,10.53490992,-80,37.52607502,126.8772511,28.5663012
목동,port,10,FATO 2,FATO,-891036.5656,447926.0984,1053.490982,-8910.365656,4479.260984,10.53490982,10,37.52639689,126.877654,28.52001563
목동,port,10,FATO 1,FATO,-891780.2285,451990.3262,1053.490992,-8917.802285,4519.903262,10.53490992,10,37.52603046,126.8775701,28.54327918
목동,port,10,TAXI 5,TAXI,-899305.9586,448567.839,1053.490982,-8993.059586,4485.67839,10.53490982,10,37.52633826,126.8767187,28.59641929
목동,port,10,TAXI 4,TAXI,-897592.3291,448869.998,1053.490982,-8975.923291,4488.69998,10.53490982,10,37.52631119,126.8769126,28.58227408
목동,port,10,TAXI 3,TAXI,-895916.2614,449165.5339,1053.490982,-8959.162614,4491.655339,10.53490982,10,37.52628471,126.8771021,28.56848478
목동,port,10,TAXI 2,TAXI,-894238.2548,449461.4118,1053.490982,-8942.382548,4494.614118,10.53490982,10,37.52625819,126.877292,28.55472494
목동,port,10,TAXI 1,TAXI,-891409.1911,449960.252,1053.490982,-8914.091911,4499.60252,10.53490982,10,37.5262135,126.877612,28.5316292
미아,port,74,GATE 8,GATE,423473.0894,-701058.8651,2813.380979,4234.730894,-7010.588651,28.13380979,164,37.63001464,127.026479,44.31958915
미아,port,74,GATE 7,GATE,423957.447,-699369.7092,2813.380979,4239.57447,-6993.697092,28.13380979,164,37.62986236,127.0265337,44.3015982
미아,port,74,GATE 6,GATE,424422.8593,-697746.6238,2813.380979,4244.228593,-6977.466238,28.13380979,164,37.62971603,127.0265862,44.28435671
미아,port,74,GATE 5,GATE,424902.3926,-696074.2927,2813.380979,4249.023926,-6960.742927,28.13380979,164,37.62956526,127.0266403,44.266639
미아,port,74,GATE 4,GATE,419413.6626,-699847.9475,2813.380989,4194.136626,-6998.479475,28.13380989,-16,37.62990569,127.0260191,44.25513569
미아,port,74,GATE 3,GATE,419885.3471,-698202.9882,2813.380989,4198.853471,-6982.029882,28.13380989,-16,37.62975739,127.0260723,44.23761627
미아,port,74,GATE 2,GATE,420350.9036,-696579.3996,2813.380989,4203.509036,-6965.793996,28.13380989,-16,37.62961101,127.0261249,44.22036963
미아,port,74,GATE 1,GATE,420818.6221,-694948.2713,2813.380989,4208.186221,-6949.482713,28.13380989,-16,37.62946396,127.0261776,44.20308809
미아,port,74,FATO 2,FATO,425586.8128,-693308.942,2813.380979,4255.868128,-6933.08942,28.13380979,74,37.62931596,127.0267175,44.23616914
미아,port,74,FATO 1,FATO,421607.9088,-692195.7016,2813.380989,4216.079088,-6921.957016,28.13380989,74,37.6292158,127.0262667,44.17402775
미아,port,74,TAXI 5,TAXI,421384.9569,-700460.1027,2813.380979,4213.849569,-7004.601027,28.13380979,74,37.62996077,127.0262424,44.2867379
미아,port,74,TAXI 4,TAXI,421864.584,-698787.4449,2813.380979,4218.64584,-6987.874449,28.13380979,74,37.62980997,127.0262966,44.26892255
미아,port,74,TAXI 3,TAXI,422333.6977,-697151.4508,2813.380979,4223.336977,-6971.514508,28.13380979,74,37.62966248,127.0263495,44.25154376
미아,port,74,TAXI 2,TAXI,422803.3542,-695513.5641,2813.380979,4228.033542,-6955.135641,28.13380979,74,37.62951482,127.0264025,44.23419051
미아,port,74,TAXI 1,TAXI,423595.1794,-692752.1413,2813.380979,4235.951794,-6927.521413,28.13380979,74,37.62926586,127.0264919,44.20503691
봉천,port,8,GATE 8,GATE,-315360.3247,929358.4164,3163.713664,-3153.603247,9293.584164,31.63713664,98,37.48305522,126.9427749,39.61551291
봉천,port,8,GATE 7,GATE,-313620.1981,929602.9753,3163.713664,-3136.201981,9296.029753,31.63713664,98,37.48303323,126.9429716,39.61864645
봉천,port,8,GATE 6,GATE,-311948.1356,929837.9683,3163.713664,-3119.481356,9298.379683,31.63713664,98,37.4830121,126.9431606,39.62170295
봉천,port,8,GATE 5,GATE,-310225.3413,930080.0912,3163.713664,-3102.253413,9300.800912,31.63713664,98,37.48299033,126.9433554,39.62489886
봉천,port,8,GATE 4,GATE,-315905.2142,933559.4119,3163.713674,-3159.052142,9335.594119,31.63713674,-82,37.48267651,126.9427133,39.66447179
봉천,port,8,GATE 3,GATE,-314210.6177,933797.5719,3163.713674,-3142.106177,9337.975719,31.63713674,-82,37.4826551,126.9429048,39.66752397
봉천,port,8,GATE 2,GATE,-312538.0368,934032.6378,3163.713674,-3125.380368,9340.326378,31.63713674,-82,37.48263396,126.9430939,39.67058143
봉천,port,8,GATE 1,GATE,-310857.6886,934268.7953,3163.713674,-3108.576886,9342.687953,31.63713674,-82,37.48261273,126.9432838,39.67369806
봉천,port,8,FATO 2,FATO,-307420.689,930579.6116,3163.713664,-3074.20689,9305.796116,31.63713664,8,37.48294539,126.9436724,39.63143128
봉천,port,8,FATO 1,FATO,-308022.0593,934667.317,3163.713674,-3080.220593,9346.67317,31.63713674,8,37.48257689,126.9436043,39.67905965
봉천,port,8,TAXI 5,TAXI,-315662.6481,931509.5589,3163.713664,-3156.626481,9315.095589,31.63713664,8,37.4828613,126.9427407,39.64054385
봉천,port,8,TAXI 4,TAXI,-313939.5172,931751.729,3163.713664,-3139.395172,9317.51729,31.63713664,8,37.48283953,126.9429355,39.64364656
봉천,port,8,TAXI 3,TAXI,-312254.1565,931988.5911,3163.713664,-3122.541565,9319.885911,31.63713664,8,37.48281823,126.943126,39.64672711
